"Ticker","nShares","AP","CP","CV","weight","PFStopLoss","PrStopLoss","StopLoss","Signal","FCF","Debt","ROA","FCF2D","EV","FCF2EV"
"MC.PA",14,350,513.700012207031,7191.80017089844,0.205783092248624,430.489416267758,416.959424195649,430.489416267758,"HOLD",5820749824,37026000896,0.05066,6.36103629524415,279796678656,48.0688377126857
"PUM.DE",80,55.4,83.4599990844727,6676.79992675781,0.191047095665057,68.8981447950999,74.1009808702366,74.1009808702366,"HOLD",0,1034600000,0.02712,0,13275257856,0
"AZO",5,1135,1151.13000488281,5755.65002441406,0.164689706579657,976.387753410339,1103.91122059812,1103.91122059812,"HOLD",0,8038881792,0.11995,0,32683952128,0
"DGV.MI",165,30.5,34.4000015258789,5676.00025177002,0.162410642072566,29.1047817842888,29.7268279336088,29.7268279336088,"HOLD",0,19116000,0.06197,0,319641792,0
"SPGI",15,350,323.679992675781,4855.19989013672,0.138924611798926,291.752582842509,326.755858859811,326.755858859811,"HOLD",2667375104,4775000064,0.22187,1.79014944573765,82071404544,30.7686025939605
"UNA.AS",100,46,47.9300003051758,4793.00003051758,0.13714485163517,39.1928877315521,47.08677462424,47.08677462424,"HOLD",7327374848,28804999168,0.09222999,3.93114857169649,150837985280,20.5855423543905
