"CompanyName","Ticker","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","EPS","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"ProSiebenSat.1 Media","PSM.DE",17.4349994659424,11.039999961853,9.52200031280518,18.3250007629395,1277377.42063492,14.091888881865,189984225,6500535296,5.394e+09,7.081e+09,1.333e+09,1.224e+09,6.87e+08,-8.5e+07,6.02e+08,2.15e+08,1.492e+09,3312374861.41248,7.85152838427948,0.0303629430871346,0.0926077580673135,1.13167290600049,15.4063947042441,1.5792572034589,"HOLD",304,99.672131147541,279,91.4754098360656,305,100
"DIALOG SEMICONDUCTOR PLC   LS-,10","DLG.DE",64.2200012207031,39.6500015258789,31.7399997711182,65.6800003051758,493755.333333333,48.8304761099437,62387940,3955865600,466990000,2121518000,1654528000,523880000,130847000,-4590000,126257000,57809000,438729000,4006553582.95715,3.56897750808196,0.0272488849964978,0.0319164028221788,0.926605366357665,69.3067443297264,1.61967209960352,"HOLD",300,98.3606557377049,280,91.8032786885246,304,99.672131147541
"ASML Holding","ASML.AS",463.399993896484,301.784820556641,301.784820556641,499.850006103516,885757.792,391.72228125,416414071,212512489472,1.3402e+10,27267400000,13865400000,6049400000,4670400000,-292900000,4377500000,1350600000,4254200000,192966277959.81,2.86956149366221,0.0495316751872199,0.0205987893270469,3.24340624887289,142.87448390331,1.53553115442236,"HOLD",301,98.6885245901639,273,89.5081967213115,303,99.344262295082
"METROPOLE TV","MMT.PA",19.2800006866455,11.4399995803833,9.14999961853027,19.2800006866455,164255.166666667,13.0457143178062,55500295,2260955904,793500000,1861500000,1060300000,1.97e+08,66550000,-2200000,64350000,57200000,358150000,1070045725.70903,11.923365890308,0.0307279076013967,0.0284614131067989,1.03062515253297,18.7070931068012,1.68531480715312,"HOLD",288,94.4262295081967,284,93.1147540983606,302,99.016393442623
"BE SEMICONDUCTOR","BESI.AS",63.0999984741211,37.2000007629395,34.6399993896484,66.1800003051758,376626.865079365,48.0823017302014,71139718,4908734976,540129000,911356000,371227000,375406000,51697000,-1326000,50371000,44646000,109674000,4488916097.2494,10.4479757045863,0.0489885401533539,0.0102615032684136,0.627581908604136,100.544642235573,1.69623648333321,"HOLD",282,92.4590163934426,286,93.7704918032787,301,98.6885245901639
"BEKAERT","BEKB.BR",34.1599998474121,18.1751937866211,16.8474597930908,34.7599983215332,75977.3492063492,25.2286378769648,35943702,2727552768,2753045000,4288100000,1447880000,940416000,197103000,-27593500,169509500,50666500,1001232500,1227836854.83543,13.9675448876983,0.0118156059793382,0.0621471019694677,1.40960716845471,24.2337018510342,1.87948476634992,"HOLD",263,86.2295081967213,296,97.0491803278689,300,98.3606557377049
"FLATEXDEGIRO AG  NA O.N.","FTK.DE",79,42.5,42.5,91.8000030517578,79698.8650793651,65.1305554707845,13152389,608252096,1575780000,1780163000,203858000,932352000,236763000,-345500,236417500,11180500,49038500,1039038731,6.65551627576944,0.00628060464126038,0.388683411951613,0.850073701439335,92.9331184651849,1.85882352941176,"HOLD",262,85.9016393442623,295,96.7213114754098,299,98.0327868852459
"HeidelbergCement","HEI.DE",77.4599990844727,51.2799987792969,48.4700012207031,78.3600006103516,753266,62.3167462121873,94781567,23856816128,17786900000,32335300000,13270800000,2857200000,1457150000,-292050000,1165100000,497100000,4701100000,7341780093.04488,12.2066362419792,0.0153732917276166,0.0488371957829091,5.24469066859804,14.7692216717861,1.51053043932102,"HOLD",284,93.1147540983606,271,88.8524590163935,298,97.7049180327869
"TRIGANO","TRI.PA",159.399993896484,110.175437927246,104.361167907715,159.399993896484,27942.8253968254,136.113244495695,8099879,2925423360,739856000,1733396000,992665000,330324000,129288000,-14330500,114957500,36917500,510316000,1291120663.16226,5.72254192191077,0.0212977876953679,0.0392960217559759,4.55778413480004,34.9731336943797,1.44678339288058,"HOLD",297.5,97.5409836065574,253,82.9508196721311,297,97.3770491803279
"APERAM","APAM.MC",36.6500015258789,24.4541168212891,22.13720703125,38.0853805541992,1688.43650793651,31.1482538041614,47089156,3077438720,1.765e+09,3.969e+09,2.2e+09,3.58e+08,1.06e+08,-1.9e+07,8.7e+07,1.01e+08,9.16e+08,1725817639.25235,16.6509433962264,0.0254472159234064,0.0282702623563533,2.14486749348406,17.0873033589342,1.49872521644178,"HOLD",275.5,90.327868852459,266,87.2131147540984,296,97.0491803278689
"RTL Group","RRTL.DE",49.9599990844727,33.0999984741211,32.2200012207031,52,118358.380952381,41.5413493201846,35467299,9142696960,4.717e+09,9.07e+09,3.706e+09,4.36e+08,298500000,-2.8e+07,270500000,1.99e+08,1682500000,1771946225.56872,15.8023450586265,0.0219404630650496,0.0295864558547066,5.61080222094161,8.90425238979255,1.50936560083329,"HOLD",271,88.8524590163935,270,88.5245901639344,295,96.7213114754098
"APERAM","APAM.AS",36.7599983215332,24.7036724090576,22.1145553588867,37.1668395996094,245551.80952381,31.1221914291382,47089156,3140555520,1.765e+09,3.969e+09,2.2e+09,3.58e+08,1.06e+08,-1.9e+07,8.7e+07,1.01e+08,9.16e+08,1730997295.52242,16.6509433962264,0.0254472159234064,0.0277021053905775,2.14486749348406,17.1385870843803,1.488037799111,"HOLD",272.5,89.344262295082,263,86.2295081967213,294,96.3934426229508
