Ticker;CompanyName;Country;Sector;Industry;CP;StartP;MinP;MaxP;Vol;MA;Shares;EV;EPS;Debt;Assets;Equity;Cash;CFOpeAct;CapExp;FCF;netIncome;Sales;MCap;Debts;ROA;FCFyield;PER;Pr6m;Signal;Quality;Quality;Momentum;Momentum;Final_rank;Final;
PST.MI;Poste italiane;Italy;Industrials;Conglomerates;11.3000001907;8.0058841705;7.8522615433;11.7453346252;3413887.87301587;10.4682946281;459252802;74931625984;1.035;2.57707e+11;2.701e+11;1.2388e+10;5.165e+09;1.101e+09;-1.16e+08;9.85e+08;4.47e+08;9.308e+09;5189556750.19552;234.0663033606;0.0016549426;0.0131453173;10.9178745804;1.4114618636;BUY;56.5;25.4504504505;210;94.5945945946;148;66.6666666667;
SAN.PA;Sanofi;France;Healthcare;Drug Manufacturers—General;87.8700027466;79.3158035278;72.57371521;89.1100006104;1950615.49206349;82.1769099765;1108202328;118387466240;9.681;0;0;6.3001e+10;0;0;0;0;1.566e+09;8.886e+09;97377741605.1286;NA;Inf;0;9.0765419633;1.1078498715;BUY;187.5;84.4594594595;78;35.1351351351;147;66.2162162162;
RACE.MI;Ferrari;Italy;Consumer Cyclical;Auto Manufacturers;179.5;170.261428833;153.9418029785;182.6999969482;416005.817460317;170.5463605608;119297862;34499883008;3.49;4137086000;6085509000;1943473000;980309000;411056000;-127026000;284030000;262120000;1068810000;21413966229;10.0645313534;0.0430728145;0.0082327815;51.4326647564;1.0542610927;BUY;210;94.5945945946;55;24.7747747748;146;65.7657657658;
REN.AS;RELX;United Kingdom;Communication Services;Publishing;23.75;20.2320842743;19.2076740265;24.2800006866;1347916.03968254;21.4658662402;1912998794;53861515264;0.737;1.2044e+10;1.4145e+10;2.099e+09;8.8e+07;4.06e+08;-1.4e+07;3.92e+08;3.38e+08;1804500000;45433721357.5;29.6650246305;0.0238953694;0.0072779237;32.2252374491;1.173878068;HOLD;139;62.6126126126;125;56.3063063063;145;65.3153153153;
BNR.DE;Brenntag AG;Germany;Basic Materials;Specialty Chemicals;84;63.5987205505;63.1271858215;84.5400009155;304627.349206349;73.0927611457;154500000;14549449728;2.909;4983800000;8793100000;3.742e+09;690600000;77600000;-3.8e+07;39600000;97500000;3132500000;1.2978e+10;64.2242268041;0.0110882396;0.0027217524;28.8759023719;1.3207812873;HOLD;70;31.5315315315;193;86.9369369369;144;64.8648648649;
SK3.IR;SMURFIT KAPPA GP;Ireland;Consumer Cyclical;Packaging & Containers;45.9099998474;40.4493713379;37.7866821289;46.7599983215;600098.436507936;42.0579049852;254303076;14567095296;2.257;6.507e+09;1.029e+10;3.77e+09;8.91e+08;367500000;-123500000;2.44e+08;1.34e+08;2163500000;11675054180.3564;17.706122449;0.0130223518;0.0167500792;20.3411607654;1.1349990946;HOLD;164;73.8738738739;98;44.1441441441;143;64.4144144144;
AALB.AS;Aalberts;Netherlands;Industrials;Specialty Industrial Machinery;43.3400001526;39.1202888489;36.7116699219;47.1599998474;204053.801587302;43.0290524013;105546939;6440603136;1.799;1448900000;3255200000;1774100000;55800000;168600000;-20300000;148300000;26750000;661650000;4574404352.36518;8.59371293;0.008217621;0.0230257938;24.0911618413;1.1078650344;BUY;182;81.981981982;79;35.5855855856;141.5;63.7387387387;
REE.MC;Red Eléctrica de España;Spain;Utilities;Utilities—Regulated Electric;16;14.4391260147;12.4749288559;16;1982470.8015873;14.3006963427;430781190;14725696512;1.166;9119212000;12796426000;3677214000;625140000;446658000;0;446658000;181111000;495239000;6892499040;20.4165424105;0.0141532487;0.030331876;13.7221269297;1.1081003091;HOLD;181;81.5315315315;80;36.036036036;141.5;63.7387387387;
KPN.AS;KPN;Netherlands;Communication Services;Telecom Services;2.6540000439;2.5353507996;2.4965839386;2.9249999523;17727559.0396825;2.7240863433;3364884210;18071736320;0.29;9.143e+09;1.2371e+10;3.227e+09;5.46e+08;5.06e+08;-258500000;247500000;8e+08;1.294e+09;8930402840.95417;18.0691699605;0.0646673672;0.0136954189;9.1517242892;1.0467979596;HOLD;209;94.1441441441;51;22.972972973;140;63.0630630631;
FORTUM.HE;Fortum Oyj;Finland;Utilities;Utilities—Renewable;23.5;20.4525871277;19.5488681793;24.2800006866;1477009.68852459;22.1355752789;410507521;31107090432;2.23;4.6203e+10;6.3416e+10;1.4303e+10;3.259e+09;8.31e+08;-2.93e+08;5.38e+08;1.092e+09;2.1493e+10;9646926743.5;55.5992779783;0.0172196291;0.0172950923;10.5381165919;1.1489988945;BUY;147;66.2162162162;109;49.0990990991;139;62.6126126126;
1COV.DE;Covestro;Germany;Basic Materials;Specialty Chemicals;54.9599990845;54.9119987488;51.7799987793;61.0915565491;938454.468253968;56.3101657383;187356070;11025433600;4.43;7.294e+09;1.3726e+10;6.393e+09;2.106e+09;4.28e+08;-1.1e+08;3.18e+08;3.93e+08;3.307e+09;10297089435.6704;17.0420560748;0.0286317937;0.0288424031;12.4063203351;1.000874132;HOLD;216;97.2972972973;38;17.1171171171;138;62.1621621622;
KNEBV.HE;KONE Oyj;Finland;Industrials;Specialty Industrial Machinery;69.6600036621;65.8519134521;64.4599990845;73.1999969482;685895.008196721;68.187722253;354565817;34857250816;1.971;5930300000;8278600000;2328200000;418300000;3.9e+08;-19200000;370800000;1.93e+08;2326400000;24699056110.6788;15.2058974359;0.0233131206;0.010637672;35.3424676114;1.0578280875;BUY;195;87.8378378378;57;25.6756756757;136;61.2612612613;
LR.PA;Legrand;France;Industrials;Specialty Industrial Machinery;91.7799987793;78.5258178711;70.75390625;93.1999969482;514292.825396825;81.2476910788;257033843;27314720768;2.758;7928200000;13250300000;5310600000;2754200000;263600000;-17400000;246200000;2.28e+08;1674100000;23590565796.778;30.0766312595;0.0172071576;0.0090134548;33.2777370483;1.1687875563;HOLD;131;59.009009009;121;54.5045045045;136;61.2612612613;
SU.PA;Schneider Electric;France;Industrials;Specialty Industrial Machinery;134.1999969482;120.8265533447;118.6199035645;138.4199981689;922415.055555556;128.5610487196;532918962;85330788352;3.81;2.5755e+10;4.9482e+10;2.0623e+10;6.895e+09;1565500000;-1.3e+08;1435500000;675500000;6.792e+09;71517723074.0604;16.4516129032;0.0136514288;0.0168227673;35.2230963119;1.1106829851;BUY;170;76.5765765766;82;36.9369369369;136;61.2612612613;
MOCORP.HE;Metso Outotec Oyj;Finland;Industrials;Farm & Heavy Construction Machinery;9.6759996414;8.2615499496;8.1675004959;10.2899999619;1826400.23770492;9.409061596;631270230;8811801600;0.186;3.464e+09;5.592e+09;2.124e+09;5.16e+08;1.43e+08;-1.7e+07;1.26e+08;5.9e+07;9.25e+08;6108170519.11815;24.2237762238;0.0105507868;0.0142990056;52.0215034485;1.1712087563;BUY;128;57.6576576577;123;55.4054054054;134;60.3603603604;
RI.PA;Pernod Ricard;France;Consumer Defensive;Beverages—Wineries & Distilleries;184.1999969482;153.0363616943;150.8522644043;187.2871246338;392332.698412698;168.9140512376;202734611;56547336192;1.003;1.7093e+10;3.1772e+10;1.4435e+10;1.955e+09;4.94e+08;-8.7e+07;4.07e+08;4.83e+08;2492500000;37343714727.5031;34.6012145749;0.0152020647;0.0071975097;183.6490497988;1.2036354949;HOLD;109;49.0990990991;140;63.0630630631;133;59.9099099099;
PUM.DE;Puma SE;Germany;Consumer Cyclical;Footwear & Accessories;103.9499969482;80.6329574585;80.6329574585;105.8499984741;275689.738095238;91.3700821892;91815196;16497557504;1.016;3222300000;5180900000;1958600000;702100000;0;0;0;109200000;1548800000;9544189344.00226;Inf;0.021077419;0;102.3129891223;1.2891750498;HOLD;67;30.1801801802;181;81.5315315315;132;59.4594594595;
