"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","ebitda","returnOnAssets","returnOnEquity","freeCashflow","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"ALMGI.PA","MG INTERNATIONAL","France","Industrials","Security & Protection Services",10.6000003814697,4.30000019073486,4.21999979019165,12,3011.392,7.40664001083374,1391664,49990536,0.925,6136367,0.11363,0.30326,5968608,16351107,34476476,18125369,10358635,5160000,-216500,4943500,341484,9302072,14751638.9308777,3.16881918604651,0.11363,0.098888717656478,11.4594598718592,2.46511625843863,"HOLD",283,100,280,98.9399293286219,283,100
"BBED.AS","Beter Bed","Netherlands","Consumer Cyclical","Furnishings, Fixtures & Appliances",8.46000003814697,4.22499990463257,4.16499996185303,8.64999961853027,207223.12,5.63047996902466,17894376,237502016,0.31,16075000,0.07351,0.84636,37164876,99843000,115566000,15723000,21627000,11712500,-426500,11286000,2948500,59291500,151386421.642616,8.52448239060833,0.07351,0.0475195966336555,27.2903227036999,2.00236691813197,"HOLD",273,96.4664310954064,277,97.8798586572438,282,99.6466431095406
"HONBS.HE","Honkarakenne Oyj B","Finland","Consumer Cyclical","Residential Construction",7.01999998092651,4.09102392196655,4.07149600982666,8.03999996185303,21886.1404958678,6.57632074671343,2614643,38172200,0.48,4446000,0.06355,0.20727,1127125,18007000,32630000,14623000,7049000,3036500,-791000,2245500,1057500,15210500,18354793.8101296,5.93018277622263,0.06355,0.0588255327175274,14.6249999602636,1.71595182888884,"BUY",275,97.1731448763251,267,94.3462897526502,281,99.2932862190813
"HOLCO.AS","HOLLAND COLOURS","Netherlands","Basic Materials","Specialty Chemicals",169.5,105,105,173.5,326.272,127.648,306724,132422024,11.008,14743000,0.117639996,0.19614,13227375,18126000,68725000,50258000,16638000,3221000,-374000,2847000,2498500,23749500,51989718,5.62744489289041,0.117639996,0.0214994448355509,15.3978924418605,1.61428571428571,"HOLD",269,95.0530035335689,260,91.8727915194346,280,98.9399293286219
"ALITL.PA","IT LINK","France","Technology","Information Technology Services",19.5,12.3999996185303,12.25,19.7000007629395,2805.528,14.6620000228882,990305,34420140,1.06,3816000,0.05074,0.11517999,4061250,26599000,43470000,16860000,11560000,3680000,-118500,3561500,709500,12568500,19310947.5,7.22798913043478,0.05074,0.103471397850212,18.3962264150943,1.57258069353967,"HOLD",270,95.4063604240283,251,88.6925795053003,279,98.5865724381625
"INL1L.VS","INVL Baltic Farmland","Lithuania","Real Estate","Real Estate Services",8.64999961853027,4.97952747344971,4.88188982009888,8.64999961853027,88.0423728813559,6.01119711843588,281236,23266124,0.289,0,0,0,0,0,0,14015000,0,0,0,0,106000,160000,2432691.29271698,NA,Inf,0,29.9307945277864,1.73711254022618,"HOLD",250,88.339222614841,268,94.6996466431095,278,98.2332155477032
"ASP.PA","A.S.T. GROUPE","France","Consumer Cyclical","Residential Construction",6.65357160568237,4.03071403503418,3.83785724639893,7.7142858505249,9779.936,5.52597434234619,4101286,69589912,0.42,10697000,0.03911,0.14444,18971250,109144000,149815000,40667000,57229000,7894000,-166500,7727500,2129500,47561000,27288200.0763826,13.8261971117304,0.03911,0.111043393760866,15.8418371563866,1.65071784995185,"HOLD",251,88.6925795053003,262,92.5795053003534,277,97.8798586572438
"DECB.BR","DECEUNINCK","Belgium","Industrials","Building Products & Equipment",2.99000000953674,1.86666667461395,1.86175441741943,3.29999995231628,144867.472,2.65378247070313,36271869,450704992,0.17,80569000,0.051069997,0.106709994,63342000,353088000,599373000,239348000,105623000,29528000,-7297000,22231000,13902500,176475000,108452888.655915,11.9577350311569,0.051069997,0.0493249473482646,17.5882353502161,1.60178571257512,"HOLD",257,90.8127208480565,255,90.1060070671378,276,97.5265017667845
"ALX.AS","ALUMEXX N.V.","Netherlands","Consumer Cyclical","Internet Retail",1.08000004291534,0.642000019550323,0.642000019550323,1.7150000333786,114014.24,1.19481599855423,3184816,10767063,0.016,306000,0.08543,0.20856,568750,1100000,2071000,971000,861000,126500,0,126500,69500,1252500,3439601.41667747,8.69565217391304,0.08543,0.0117487935196441,67.500002682209,1.68224300627251,"HOLD",245,86.5724381625442,265,93.6395759717314,275,97.1731448763251
"ENVI.AS","ENVIPCO","Netherlands","Industrials","Pollution & Treatment Controls",1.83000004291534,1.16999995708466,0.990000009536743,2.09999990463257,12896.16,1.63711999797821,1170393,79821328,0.465,5701000,0.03491,0.07145,5318500,18017000,49162000,31110000,12850000,6074000,-450000,5624000,2025000,8341000,2141819.24022782,2.96624958840961,0.03491,0.0704573594666328,3.9354839632588,1.56410265815329,"HOLD",259,91.5194346289753,249,87.9858657243816,274,96.8197879858657
