"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"NRT","North European Oil Royality Trust","United States","Energy","Oil & Gas Equipment & Services",7.21999979019165,3.80643701553345,3.66796875,7.65999984741211,33678.3253968254,5.38568495568775,9133976,60168512,0.305,1286682,1408440,121758,1408439,1400261,0,1400261,1198447,1400261,65947304.8036156,0.91888726458853,0.85090383686916,0.0232723222405766,23.6721304596448,1.89678687989004,"HOLD",687,98.1428571428571,679,97,700,100
"LIVE","Live Ventures","United States","Consumer Cyclical","Specialty Retail",62.2449989318848,27.9500007629395,23.2600002288818,70.7399978637695,28690.3412698413,40.8512301066565,1178543,186893520,6.496,138721000,196271000,57998000,11928000,13243000,-2211000,11032000,8734000,70890000,73358407.7761803,10.4750434191648,0.0444996968477258,0.0590282637942717,9.58205032818423,2.22701242335632,"HOLD",671,95.8571428571428,690,98.5714285714286,699,99.8571428571429
"RMCF","Rocky MT Chocolate","United States","Consumer Defensive","Confectioners",8.25010013580322,4.53999996185303,4.3600001335144,8.39000034332275,72628.7301587302,6.30087382452829,4482550,46129088,0.547,6109096,25802627,19693531,5789625,2079955,-77433,2002522,2167793,8221999,36981486.3637447,2.93712892827008,0.0840144300035806,0.0434112636261094,15.0824499740461,1.8172026883533,"HOLD",691,98.7142857142857,669,95.5714285714286,698,99.7142857142857
"FRD","Friedman Industries Inc","United States","Basic Materials","Steel",13.1300001144409,7.03124666213989,7.03124666213989,15.3057823181152,64472.5,10.3128054671817,6095810,81358608,1.626,29668833,95008809,65339976,8191001,3589262,-381424,3207838,10403597,49214204,80037985.9976101,8.26599813554987,0.109501393707609,0.0394283786172939,8.07503082068937,1.86737868053187,"HOLD",680,97.1428571428571,677,96.7142857142857,697,99.5714285714286
"ZDGE","Zedge Inc Cl B","United States","Technology","Software輸pplication",16.8799991607666,8.22999954223633,8.22999954223633,19.4200000762939,386078.007936508,13.7955555915833,11869170,223288000,0.439,5402000,33044000,27642000,24915000,3976000,-142000,3834000,1932000,5252000,200351579.638996,1.35865191146881,0.0584674978816124,0.0171706495646878,38.4510231452542,2.05103281891311,"HOLD",658,94,687,98.1428571428571,696,99.4285714285714
"BBW","Build-A-Bear Workshop","United States","Consumer Cyclical","Specialty Retail",15.3800001144409,5.40000009536743,4.88000011444092,19.7700004577637,451512.206349206,10.8751587564983,10411379,317645152,0.569,186406000,264383000,77977000,45931000,12059000,-491000,11568000,10380000,91693000,160127010.211488,15.457832324405,0.0392612233010443,0.0364179963936613,27.0298771782793,2.8481481190408,"HOLD",639,91.2857142857143,699,99.8571428571429,695,99.2857142857143
"GBL","Gamco Investors","United States","Financial Services","Capital Markets",27.3950004577637,17.1596298217773,16.3751163482666,27.9200000762939,27191.0396825397,21.3192684688265,5111831,620341248,2.371,112118000,213793000,101675000,118868000,36665000,0,36665000,15950000,67928000,140038612.585011,3.05790263193782,0.0746048748088104,0.0591045656212756,11.5541967346114,1.59647968763269,"HOLD",693,99,639,91.2857142857143,694,99.1428571428571
"CCRC","China Customer Ord","China","Technology","Information Technology Services",6.5,4.11999988555908,4.07000017166138,6.5,133998.074074074,5.81689816051059,5304220,85294240,1.356,48442062,143957860,95515798,43669538,8091704,-1762980,6328724,7281492,71297556,34477430,5.98663297619389,0.0505807185519429,0.0741987266666542,4.79351032448378,1.57766994673544,"HOLD",688,98.2857142857143,633,90.4285714285714,693,99
"CATO","Cato Corp","United States","Consumer Cyclical","Apparel Retail",16.8299999237061,10.8557844161987,10.6670742034912,17.75,156351.047619048,14.1480617296128,17865489,350585472,0.075,356037000,617920000,261883000,22276000,44500000,-554000,43946000,20713000,213085000,300676178.506971,8.00083146067416,0.0335205204557224,0.125350316855115,224.399998982747,1.55032554797171,"HOLD",686,98,623,89,692,98.8571428571429
"LOMA","Loma Negra Comp Indu Argentina Sociedad ADR","Argentina","Basic Materials","Building Materials",7.96999979019165,5.21000003814697,5.21000003814697,8.13000011444092,251017.76984127,6.3867460129753,51328719,2285509888,1.121,27642154000,81224554000,53309080000,248010000,2928867000,-1059268000,1869599000,2600615000,13175464000,409089879.660806,9.437831762248,0.0320175965509149,0.81802271336312,7.10972327403359,1.52975042837549,"HOLD",689,98.4285714285714,618,88.2857142857143,691,98.7142857142857
"BGFV","Big 5 Sporting","United States","Consumer Cyclical","Specialty Retail",21.8934001922607,13.4138374328613,12.0288162231445,34.8699989318848,1235267.02380952,20.703160952008,19979341,689061952,3.734,464912000,716112000,251200000,100097000,41974000,-1742000,40232000,21546000,272806000,437415708.090643,11.0761900223948,0.0300874723506937,0.0583866223976331,5.86325661281755,1.63215040452377,"BUY",655.5,93.6428571428571,650,92.8571428571429,690,98.5714285714286
