"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"MEO.VI","Metro AG","Germany","Consumer Defensive","Food Distribution",11.3050003051758,9.51000022888184,8.81999969482422,11.7299995422363,84.4728682170543,10.1932558311048,130257509,7399522816,0.286,1.1368e+10,1.352e+10,2.141e+09,1.952e+09,1.42e+08,-4.9e+07,9.3e+07,9.9e+07,6.337e+09,1472561178.99644,80.056338028169,0.00732248520710059,0.0125683780309327,39.5279730950202,1.1887486890739,"HOLD",138,40.1162790697674,204,59.3023255813954,173,50.2906976744186
"HYQ.DE","HYPOPORT SE  NA O.N.","Germany","Financial Services","Credit Services",591.5,518,420.600006103516,593.5,7041.75968992248,473.000001182852,3658411,3903810816,5.001,334579000,565890000,230240000,37988000,12871000,-11706000,1165000,9517000,107882000,2163950106.5,25.9947944992619,0.016817756101009,0.000298426346693128,118.276344731054,1.14189189189189,"HOLD",174.5,50.7267441860465,165,47.9651162790698,172,50
"HEIJM.AS","Heijmans","Netherlands","Industrials","Engineering & Construction",12.0200004577637,13.128999710083,12.0200004577637,14.7799997329712,113937.744186047,13.0808371758276,23135348,238325568,1.543,704229000,930638000,226409000,175063000,62572500,-8184000,54388500,12574000,453734000,278086893.550522,11.2546086539614,0.0135111611604082,0.228210932030591,7.79001973931541,0.915530560072476,"HOLD",312,90.6976744186046,27,7.84883720930233,170.5,49.5639534883721
"VRLA.PA","VERALLIA","France","Consumer Cyclical","Packaging & Containers",30.8600006103516,29.5246181488037,29.1367721557617,32.8697700500488,71930.3148148148,31.1228103107876,82679080,5166677504,1.67,2.758e+09,3335800000,538300000,476200000,174850000,-75600000,99250000,63050000,630650000,2551476459.26331,15.7735201601373,0.0189010132501949,0.0192096371262115,18.4790422816476,1.04522945749264,"BUY",252,73.2558139534884,87,25.2906976744186,170.5,49.5639534883721
"BGN.MI","Banca Generali","Italy","Financial Services","Banks—Regional",37.2299995422363,28.2199993133545,28.2199993133545,37.2299995422363,447121.443548387,33.1341934973194,56604134,3839621888,2.89,14695042000,15685522000,990205000,1202771000,0,0,0,54672000,196670000,2107371882.90868,Inf,0.00348550720849456,0,12.8823527827807,1.31927712431297,"HOLD",61,17.7325581395349,277,80.5232558139535,168.5,48.9825581395349
"EBRO.MC","EBRO FOODS","Spain","Consumer Defensive","Packaged Foods",17.0400009155273,17.2681274414062,16.6416187286377,18.2199993133545,90879.8139534884,17.2399667251942,42435967,3353941504,1.279,0,0,1927351000,0,0,0,0,52844000,697229000,723108916.531288,NA,Inf,0,13.322909238098,0.986789156690384,"HOLD",287,83.4302325581395,51,14.8255813953488,168.5,48.9825581395349
"RET.BR","RETAIL ESTATES","Belgium","Real Estate","REIT—Retail",68.4000015258789,58.0008201599121,54.8098373413086,70.7647552490234,10951.4263565891,62.9542322380598,12665763,1786469888,4.856,954785000,1763008000,808223000,3681000,11889000,-3000,11886000,18397500,25007000,866338208.526421,80.3082681470267,0.0104352901404872,0.00665334472181151,14.085667530041,1.17929369511148,"BUY",138,40.1162790697674,198,57.5581395348837,167,48.546511627907
"VCT.PA","VICAT","France","Basic Materials","Building Materials",41.5499992370605,38.327880859375,37.3141708374023,44.2999992370605,29582.5403225806,41.4496320293796,17757449,3290510080,3.47,2831954000,5242647000,2176387000,422843000,154063500,-98436500,55627000,64492500,750733500,737821992.402142,18.3817322078234,0.0123015148645331,0.0169052817489014,11.9740631807091,1.08406721961769,"BUY",213,61.9186046511628,122,35.4651162790698,166,48.2558139534884
"NSI.AS","NSI NV","Netherlands","Real Estate","REIT—Office",35.0499992370605,30.474292755127,30.474292755127,36.5499992370605,19479.6046511628,33.4983965555827,17525379,1124589440,2.508,470381000,1344053000,873672000,32000,9125000,0,9125000,17078500,23417000,614264520.579197,51.548602739726,0.0127067161786031,0.00811407227867976,13.9752788026557,1.15014971860713,"BUY",161,46.8023255813954,173,50.2906976744186,165,47.9651162790698
"ENO.MC","ELECNOR","Spain","Industrials","Infrastructure Operations",10,10.323145866394,9.88489818572998,10.8587799072266,17214.6201550388,10.3226320133653,37591098,1444290944,0.96,0,0,576081000,0,0,0,0,21548000,526579000,375910980,NA,Inf,0,10.4166666666667,0.968696958216389,"HOLD",288.5,83.8662790697674,43,12.5,164,47.6744186046512
"MUSTI.HE","Musti Group Oyj","Finland","Consumer Cyclical","Personal Services",34.0400009155273,30.3799991607666,30.1000003814697,34.2000007629395,82165.8571428571,32.3600000653948,31478045,1239332864,0.637,177388000,330633000,153144000,13508000,10053000,-3488000,6565000,4131000,82651000,1071512680.61901,17.6452800159156,0.012494215640907,0.00529720480324485,53.4379920180963,1.12047405713847,"BUY",182.5,53.0523255813954,148,43.0232558139535,163,47.3837209302326
"OMASP.HE","Oma Säästöpankki Oyj","Finland","Financial Services","Banks—Regional",16.0499992370605,11,11,16.25,39578.648,13.0599999923706,18553641,1961458688,1.997,4393457000,4776891000,383003000,245118000,-217711000,-1800000,-219511000,30399000,29917000,297785923.894695,-20.1802251608784,0.00636376253927502,-0.111912119966097,8.03705520133227,1.45909083973278,"HOLD",20,5.81395348837209,310,90.1162790697674,162,47.093023255814
"GLJ.DE","GRENKE AG NA O.N.","Germany","Financial Services","Credit Services",37.3899993896484,32.1736106872559,30.6145782470703,39.4424629211426,88113.2868217054,35.1227242669394,27576524,4671078912,1.713,6050814000,7246840000,1222832000,1054669000,128058000,-1940000,126118000,14885000,126592000,1031086215.52863,47.250573958675,0.00205399870840256,0.0269997579522801,21.8272033798298,1.16213252385934,"BUY",144,41.8604651162791,185,53.7790697674419,161,46.8023255813954
"FTK.DE","FLATEXDEGIRO AG  NA O.N.","Germany","Financial Services","Capital Markets",89.3000030517578,86,74.8000030517578,117.099998474121,113831.503875969,96.589922409649,16264608,1325570304,2.16,2372344000,2818178000,445306000,1255124000,210609000,-3030500,207578500,13773500,78935500,1452429544.03564,11.2642099815298,0.00488737758935028,0.156595617277799,41.3425940054434,1.03837212850881,"HOLD",248,72.0930232558139,80,23.2558139534884,160,46.5116279069767
