"CompanyName","Ticker","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","EPS","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"DELTICOM AG  NA O.N.","DEX.DE",8.60000038146973,3.75999999046326,3.25,9,27927.4285714286,6.14039683531201,4387965,196644640,184966000,199767000,13807000,5635000,14478000,-198500,14279500,6334000,151614500,37736500.6738758,12.7756596214947,0.0317069385834497,0.0726157600837734,1.4434937379856,5.95776770980041,2.28723414980917,"HOLD",385,94.8275862068966,394,97.0443349753695,406,100
"HAPAG-LLOYD AG NA O.N.","HLAG.DE",132.399993896484,46.7000007629395,44.5499992370605,144.800003051758,38685.253968254,88.984126741924,6327371,27459745792,8461600000,15184300000,6707200000,681300000,970900000,-213300000,757600000,397200000,3410500000,837743881.780792,8.71521268925739,0.0261585980255922,0.0275894760912432,62.7748870739522,2.10912356943805,2.8351175960056,"HOLD",370.5,91.256157635468,402,99.0147783251232,405,99.7536945812808
"NOVACYT","ALNOV.PA",7.78999996185303,4.07499980926514,4.07499980926514,13.2399997711182,2856674.57936508,9.06170634996323,65475353,514222112,29213000,87975000,58762000,19720000,12301500,-134000,12167500,20097500,36187000,510052997.372313,2.37475104662033,0.228445581131003,0.0236619540779297,0.306947562390385,25.3789275965823,1.91165652183376,"HOLD",397,97.7832512315271,371,91.3793103448276,404,99.5073891625616
"GUILLEMOT","GUI.PA",12.1999998092651,6.61999988555908,6.51999998092651,17.8999996185303,74542.1190476191,9.77777777020893,4122631,184447520,61459000,141168000,79709000,29024000,10257000,-369000,9888000,11225000,39550000,50296097.4136705,5.991907965292,0.0795151875779213,0.0536087446445471,2.72277581961616,4.4807213731555,1.84290030516138,"HOLD",402,99.0147783251232,365,89.9014778325123,402.5,99.1379310344828
"JACQUET METALS","JCQ.PA",19.1200008392334,8.86999988555908,8.09000015258789,19.1200008392334,27286.8888888889,12.9115079168289,12087012,653642304,8.44e+08,1.217e+09,3.73e+08,3.33e+08,5.7e+07,-5e+06,5.2e+07,30162000,325797000,231103679.583824,14.8070175438596,0.0247838948233361,0.0795542144102105,2.4954058124539,7.66208075007706,2.15558073121985,"HOLD",378,93.1034482758621,389,95.8128078817734,402.5,99.1379310344828
"PROMOTORA DE INFORMAC. CL.A","PRS.MC",1.03999996185303,0.398000001907349,0.383500009775162,1.05799996852875,865144.76984127,0.808821430045461,203859341,1533381632,1374699000,971719000,-449251000,221879000,60502000,-4411000,56091000,299037000,75906000,212013706.863383,22.7215463951605,0.307740200613552,0.0365799347203867,1.46687906736636,0.708988208360114,2.61306521826382,"HOLD",362,89.1625615763547,399,98.2758620689655,401,98.7684729064039
"Honkarakenne Oyj B","HONBS.HE",6.88000011444092,3.90000009536743,3.45000004768372,7.78000020980835,20712.9739130435,4.95669566444729,2561064,37716996,1.8e+07,32600000,14600000,7e+06,3050000,-950000,2100000,1050000,15150000,17620120.6130905,5.9016393442623,0.0322085889570552,0.0556778169714258,0.409985849631247,16.7810672505624,1.76410255030846,"HOLD",398,98.0295566502463,356,87.6847290640394,400,98.5221674876847
"DECEUNINCK","DECB.BR",2.95000004768372,1.50499999523163,1.46000003814697,2.95000004768372,117950.817460317,1.96777778390854,36271869,456174016,353088000,599373000,239348000,105623000,29528000,-7297000,22231000,13902500,176475000,107002015.279577,11.9577350311569,0.0231950721837654,0.0487335955584108,0.38328601153693,7.69660242974843,1.96013292825937,"HOLD",373,91.871921182266,375,92.3645320197044,399,98.2758620689655
"Beter Bed","BBED.AS",5.42999982833862,3.09999990463257,2.75,6.26999998092651,186471.261904762,4.54174602599371,17894376,161667280,99843000,115566000,15723000,21627000,11712500,-426500,11286000,2948500,59291500,97166458.6082268,8.52448239060833,0.0255135593513663,0.0698100444319964,0.164772440234854,32.9545391243774,1.75161290173724,"HOLD",392,96.551724137931,355,87.4384236453202,398,98.0295566502463
"EXEL INDUSTRIES","EXE.PA",64.1999969482422,34.5999984741211,33.7000007629395,68.4000015258789,1335.11904761905,51.003174554734,1094929,531367744,423082000,764629000,341532000,99291000,40521000,-1576500,38944500,12865000,220043500,70294438.4585419,10.4410552552997,0.0168251531134707,0.07329105019969,11.7496202950146,5.46400609860411,1.85549132310686,"HOLD",372,91.6256157635468,366,90.1477832512315,397,97.7832512315271
"Rapala VMC Oyj","RAP1V.HE",7.11999988555908,2.79999995231628,2.70000004768372,7.15999984741211,32088.3652173913,4.80199999809265,22287948,327934528,129900000,272900000,137800000,27900000,14550000,-1300000,13250000,3350000,72300000,158690187.209347,8.92783505154639,0.0122755588127519,0.0404044065771568,0.150305447589881,47.3702051371184,2.54285714528999,"HOLD",337,83.0049261083744,398,98.0295566502463,396,97.5369458128079
"Mediaset España","TL5.MC",5.46999979019165,3.46600008010864,2.67799997329712,5.46999979019165,555008.103174603,3.96422223817734,141669458,1626852096,0,0,0,0,81120000,0,81120000,75500000,2.9e+08,774931905.536565,0,Inf,0.0498631683847921,0.532930675855342,10.2639987488287,1.5781880160892,"HOLD",406,100,327,80.5418719211823,395,97.2906403940887
"Ponsse Oyj 1","PON1V.HE",37.7999992370605,23.5,23.5,38,6483.45217391304,30.7947825556216,8121054,1054941376,218926000,473964000,255038000,123611000,59294000,-7921000,51373000,17636000,205202000,306975835.004128,3.69221169089621,0.0372095770986826,0.0486974927410564,2.17163929706661,17.406205205496,1.60851060583236,"HOLD",399,98.2758620689655,333,82.0197044334975,394,97.0443349753695
"Etteplan Oyj","ETTE.HE",16.5,9.92000007629395,9.52000045776367,16.5,7569.33913043478,13.0799130315366,4411980,443692032,130844000,217918000,87074000,24407000,17512000,-267000,17245000,5691000,70294000,72797670,7.47167656464139,0.0261153277838453,0.0388670491157254,1.28989705302381,12.7917185028993,1.66330643882054,"HOLD",384,94.5812807881773,347,85.4679802955665,393,96.7980295566502
"DAMARTEX","ALDAR.PA",18,9.36603832244873,8.05000019073486,18.3999996185303,1918.69047619048,12.0929894068884,1244767,122494720,0,0,0,0,0,0,0,5550000,201150000,22405806,NA,Inf,0,4.45866575833068,4.03708216216216,1.92183710767627,"HOLD",352,86.6995073891626,373,91.871921182266,392,96.551724137931
"Heijmans","HEIJM.AS",13.4200000762939,7.67999982833862,7.15999984741211,13.9399995803833,137598.03968254,9.73650793802171,20728452,312404032,704229000,930638000,226409000,175063000,62572500,-8184000,54388500,12574000,453734000,278175827.421455,11.2546086539614,0.0135111611604082,0.174096664667888,0.606605838197662,22.1230974567723,1.74739588232478,"HOLD",366,90.1477832512315,354,87.192118226601,391,96.3054187192118
"NEXTEDIA","ALNXT.PA",1.23000001907349,0.624000012874603,0.550000011920929,1.70000004768372,474155.396825397,1.06289682738365,17677528,22689972,13084038,26842171,13647623,4677809,699149,-16562,682587,920905,5886856,21743359.7771721,18.7142340187857,0.0343081414688849,0.0300832015129856,0.0520946707028268,23.6108608131915,1.97115383605074,"HOLD",340,83.743842364532,377,92.8571428571429,390,96.0591133004926
"AKWEL","AKW.PA",29.2999992370605,13.6199998855591,13.039999961853,29.7999992370605,16137.6825396825,21.0276189910041,8098111,790460416,333260000,831165000,496539000,157936000,34317000,-8710500,25606500,10106500,193505500,237274646.121632,9.71122184340123,0.0121594388599135,0.0323944115121889,1.24800709696372,23.4774299828459,2.15124812652359,"HOLD",328,80.7881773399015,388,95.5665024630542,389,95.8128078817734
"ARTNET AG NA O.N.","ART.DE",8.14999961853027,5,4.92000007629395,8.14999961853027,5806.58064516129,6.55016127324873,2257289,47488932,7487147,11782454,4295307,1516417,927670,-246806,680864,1426065,4802039,18396904.4889126,8.07091638190305,0.121032935923196,0.0143373196937762,0.631760044903422,12.9004670116107,1.62999992370605,"HOLD",375,92.3645320197044,339,83.4975369458128,388,95.5665024630542
"GRUPO CLINICA BAVIERA","CBAV.MC",13.6999998092651,8.80000019073486,8,14.6999998092651,4949.78571428571,10.9047618896242,1704368,247316464,76018000,120922000,44492000,10822000,11364000,-4203000,7161000,6200000,40220000,23349841.2749176,6.68936994016191,0.0512727212583318,0.028954805046865,3.63771204340847,3.76610343143832,1.55681812640064,"HOLD",391,96.3054187192118,320,78.8177339901478,387,95.320197044335
