"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","ebitda","returnOnAssets","returnOnEquity","freeCashflow","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"DLG.DE","DIALOG SEMICONDUCTOR PLC   LS-,10","United Kingdom","Technology","Semiconductors",65.1600036621094,41.6199989318848,40.6300010681152,65.6800003051758,388833.409836066,58.2617212827088,62230762,3931058176,1.099,250060992,0.057979997,0.05237,165615632,466990000,2121518000,1654528000,523880000,130847000,-4590000,126257000,57809000,438729000,4054956679.81586,3.56897750808196,0.057979997,0.0321178151905326,59.2902672084708,1.56559359284824,"HOLD",211,98.8290398126464,205,95.7943925233645,214,100
"HFG.DE","HELLOFRESH SE  INH O.N.","Germany","Consumer Cyclical","Restaurants",74.2799987792969,48,46.7000007629395,76.9800033569336,831593.024590164,66.0560656375572,157415272,12195363840,2.386,444300000,0.25366,0.81904,420462496,869600000,1525600000,656400000,7.29e+08,185400000,-41200000,144200000,138800000,1108500000,11692806212.0027,4.69039913700108,0.25366,0.0118241654690968,31.1316004942569,1.54749997456868,"HOLD",208,97.423887587822,204,95.3271028037383,213,99.5327102803738
"ASM.AS","ASM INTERNATIONAL","Netherlands","Technology","Semiconductor Equipment & Materials",233,142.148422241211,142.148422241211,267.240997314453,365148.786885246,214.659402941094,45613053,11323863040,6.775,430851008,0.10018,0.17117001,123852128,383912000,2376615000,1992703000,497870000,115618000,-9444000,106174000,122473000,394015000,10627841349,3.3205210261378,0.10018,0.00937612894336101,34.3911439114391,1.63913180551961,"BUY",204,95.5503512880562,207,96.7289719626168,212,99.0654205607477
"PSM.DE","ProSiebenSat.1 Media","Germany","Communication Services","Broadcasting",18.5300006866455,12.3500003814697,12.3500003814697,18.6800003051758,1294149.69672131,16.2877868824318,189984225,6716780032,1.313,7.93e+08,0.05046,0.16941,273124992,5.394e+09,7.081e+09,1.333e+09,1.224e+09,6.87e+08,-8.5e+07,6.02e+08,2.15e+08,1.492e+09,3520407819.70181,7.85152838427948,0.05046,0.0896262788318151,14.1127194871634,1.50040486755356,"HOLD",209,97.8922716627635,199,92.9906542056075,211,98.5981308411215
"CDI.PA","CHRISTIAN DIOR","France","Consumer Cyclical","Luxury Goods",623,424.498321533203,423.114288330078,627,6832.2868852459,491.560337504403,159760785,152342691840,10.703,10177000448,0.052020002,0.13813,7832500224,6.9773e+10,1.06017e+11,1.127e+10,2.0358e+10,5016500000,-726500000,4.29e+09,865500000,1.3129e+10,99530969055,13.908701285757,0.052020002,0.0281601955970795,58.2079790712884,1.46761475463519,"HOLD",199.5,93.4426229508197,198,92.5233644859813,210,98.1308411214953
"VALMT.HE","Valmet Oyj","Finland","Industrials","Specialty Industrial Machinery",35.5099983215332,20.9510326385498,20.8928089141846,36.7599983215332,441814.726495726,28.4948874905578,132059706,5097051648,1.72,4.37e+08,0.060370002,0.24701001,483716992,2.943e+09,4.022e+09,1.073e+09,3.85e+08,1.48e+08,-2.4e+07,1.24e+08,5.7e+07,8.58e+08,4689439938.40217,19.8851351351351,0.060370002,0.0243277895857021,20.6453478613565,1.69490444381223,"HOLD",181,84.7775175644028,212,99.0654205607477,209,97.6635514018692
"MONC.MI","Moncler","Italy","Consumer Cyclical","Apparel Manufacturing",55.5,40.4557342529297,40.3869323730469,55.5,757576.37704918,49.1075167108755,193151766,14460444672,1.18,438081984,0.086619996,0.20478001,308259744,1129475000,2756612000,1627048000,923498000,184122500,-27486500,156636000,165991500,518537500,10719923013,6.13436706540483,0.086619996,0.0108320320400172,47.0338983050847,1.37186979855596,"HOLD",202.5,94.847775175644,182,85.0467289719626,208,97.196261682243
"DPW.DE","Deutsche Post","Germany","Industrials","Integrated Freight & Logistics",55.9700012207031,39.3896598815918,38.0555763244629,56.4799995422363,2978048.94262295,43.8101585263112,983749822,81661116416,3.055,6154999808,0.052449998,0.22311,3249125120,4.1229e+10,5.5307e+10,1.3777e+10,4.482e+09,2.918e+09,-1.259e+09,1.659e+09,1.302e+09,1.9384e+10,55060478738.2065,14.1291980808773,0.052449998,0.0203156664127476,18.3207859969568,1.42093131519676,"HOLD",188.5,88.2903981264637,192,89.7196261682243,207,96.7289719626168
"WIE.VI","Wienerberger AG","Austria","Basic Materials","Building Materials",31.9400005340576,23.4757404327393,23.377513885498,33.6599998474121,215168.193277311,29.051323882672,111916667,4595914752,0.786,493846016,0.04383,0.05224,295974624,2578030000,4327015000,1748300000,666148000,236899000,-101528000,135371000,47908000,807773000,3574618403.74995,10.8824013609175,0.04383,0.0294546368470152,40.6361329949842,1.36055348820922,"HOLD",198,92.7400468384075,181,84.5794392523365,206,96.2616822429907
"LIGHT.AS","SIGNIFY NV","Netherlands","Industrials","Electrical Equipment & Parts",48.7900009155273,34.9723281860352,31.9266052246094,49.6268463134766,507516.237704918,39.3166325834931,125347790,7314138624,2.686,820750016,0,0,0,0,0,2.196e+09,0,0,0,0,6e+07,1.599e+09,6115718788.85933,NA,Inf,0,18.1645573028769,1.39510302705582,"HOLD",174,81.4988290398126,187,87.3831775700935,205,95.7943925233645
"PUB.PA","Publicis","France","Communication Services","Advertising Agencies",55.5800018310547,39.3600006103516,38.0900001525879,56.2799987792969,842255.959016393,47.3864753285392,216926590,16330028032,2.38,1859000064,0.02915,0.07848,2354874880,2.3001e+10,3.0161e+10,7.182e+09,3.7e+09,1467500000,-4.2e+07,1425500000,2.2e+08,2.755e+09,12056780269.4044,15.673594548552,0.02915,0.0872931753213539,23.3529419458213,1.41209352055847,"HOLD",166,77.751756440281,190,88.785046728972,204,95.3271028037383
"AFX.DE","CARL ZEISS MEDITEC AG","Germany","Healthcare","Medical Instruments & Supplies",152.800003051758,111,105.5,152.800003051758,103597.316666667,128.990000724792,36379907,13639630848,1.78,217434256,0,0,0,0,0,1431717000,0,0,0,0,46300000,368900000,5558849900.62267,NA,Inf,0,85.8426983436842,1.37657660406989,"HOLD",167,78.2201405152225,185,86.4485981308411,203,94.8598130841121
"SGO.PA","Saint-Gobain","France","Industrials","Building Products & Equipment",54.560001373291,40.5900001525879,37.3699989318848,56.3800010681152,1320263.23770492,45.5861476210297,481190918,36612042752,0.85,4084999936,0.035639998,0.02575,3774000128,3.0423e+10,4.8626e+10,1.7892e+10,8.443e+09,1.973e+09,-353500000,1619500000,4.45e+08,1.0182e+10,26253777146.8952,15.4196654840345,0.035639998,0.0442340792337115,64.1882369097541,1.34417347051457,"HOLD",175,81.9672131147541,175,81.7757009345794,202,94.392523364486
"RMS.PA","Hermès","France","Consumer Cyclical","Luxury Goods",1061,823.71240234375,813.756958007812,1073,49588.7540983607,925.125511794794,33909013,116633223168,13.21,2306700032,0.12157,0.19896999,1041875008,3659500000,11050500000,7380100000,4732700000,666450000,-107050000,559400000,525200000,1950700000,35977462793,5.49103458624053,0.12157,0.00479623202382252,80.3179409538229,1.28807092983071,"HOLD",184,86.1826697892272,162,75.7009345794392,201,93.9252336448598
