"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","ebitda","returnOnAssets","returnOnEquity","freeCashflow","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"HEN.DE","HENKEL AG+CO.KGAA ST O.N.","Germany","Consumer Defensive","Household & Personal Products",77.6500015258789,78.3835678100586,71.8271408081055,84.3499984741211,105870.136,79.2392906494141,274246682,35210846208,3.242,2.764e+09,0.04535,0.078049995,1893750016,1.2371e+10,3.025e+10,1.7778e+10,1.727e+09,9.69e+08,-2.05e+08,7.64e+08,3.16e+08,4882500000,21295255275.7672,12.7667698658411,0.04535,0.021697859673319,23.9512651221095,0.990641325667169,"HOLD",196.5,88.9140271493213,31,14.027149321267,117.5,53.1674208144796
"LIN.DE","Linde","United Kingdom","Basic Materials","Specialty Chemicals",243.350006103516,210.698104858398,200.098815917969,247.350006103516,782221.4,227.445301879883,519157672,140033884160,4.606,9.056e+09,0.03252,0.06394,5072124928,3.736e+10,8.4993e+10,4.621e+10,4.096e+09,2.109e+09,-7.62e+08,1.347e+09,9.8e+08,7.243e+09,126337022649.887,17.7145566619251,0.03252,0.00961910046329176,52.8332622890829,1.15497007563054,"BUY",119.5,54.0723981900452,107,48.4162895927602,116,52.4886877828054
"DSM.AS","DSM","Netherlands","Basic Materials","Specialty Chemicals",154.199996948242,137.984512329102,135.114990234375,154.199996948242,352833.944,145.434410522461,171981676,29903767552,2.89,1208999936,0.03021,0.05965,-235250000,6.877e+09,1.4364e+10,7.399e+09,8.71e+08,5.04e+08,-2.11e+08,2.93e+08,5.6e+07,2.08e+09,26519573914.3536,13.6448412698413,0.03021,0.009798096493711,53.3564003281115,1.11751670057336,"BUY",139,62.89592760181,87,39.3665158371041,115,52.0361990950226
"GLE.PA","Société Générale","France","Financial Services","Banks—Regional",25.0100002288818,16.2201995849609,15.113920211792,26.75,4122297.912,21.064194984436,798823090,-287905153024,0.138,0,0.00089,0.01967,0,1.434671e+12,1.502982e+12,6.292e+10,1.77582e+11,0,0,0,8.14e+08,5.969e+09,19978565663.7361,Inf,0.00089,0,181.231885716535,1.54190459234982,"HOLD",9,4.07239819004525,216,97.737556561086,113.5,51.3574660633484
"PAH3.DE","PORSCHE ","Germany","Consumer Cyclical","Auto Manufacturers",90.3600006103516,56.4199981689453,54.9799995422363,101.199996948242,689807.76,79.8825599365234,153109688,28616374272,11.491,-37250000,-8e-04,0.09471,0,3.31e+08,3.8594e+10,3.8263e+10,2.71e+08,0,0,0,9.95e+08,2.4e+07,13834991501.1307,Inf,-8e-04,0,7.8635454364591,1.60155979338701,"HOLD",6,2.71493212669683,219,99.0950226244344,113.5,51.3574660633484
"COLR.BR","Colruyt","Belgium","Consumer Defensive","Grocery Stores",46.9199981689453,48.6199989318848,45.8499984741211,52.0200004577637,179900.008,49.9603999633789,125368369,6512072192,3.065,850400000,0.06755,0.17026,159775008,2668100000,5195300000,2.523e+09,284500000,208600000,-123700000,84900000,84800000,2470300000,5882283643.92366,12.7905081495686,0.06755,0.0130373247557511,15.3083191415809,0.965034948574945,"HOLD",198,89.5927601809955,26,11.7647058823529,112,50.6787330316742
"AD.AS","Ahold Delhaize","Netherlands","Consumer Defensive","Grocery Stores",24.7950000762939,22.7551040649414,21.3402786254883,24.8299999237061,3644473.976,23.1746142272949,1032881650,38137147392,1.23,5018999808,0.05025,0.09512,2224250112,3.0936e+10,4.4043e+10,1.3107e+10,4.061e+09,1.104e+09,-4.54e+08,6.5e+08,5.5e+08,1.8264e+10,25610300590.5526,28.0217391304348,0.05025,0.0170437498462811,20.1585366473935,1.08964564633635,"BUY",150,67.8733031674208,71,32.1266968325792,111,50.2262443438914
"BN.PA","Danone","France","Consumer Defensive","Packaged Foods",58.560001373291,51.8616676330566,50.875114440918,60.5299987792969,1645566.792,55.7620278015137,640841722,49922691072,2.989,4417999872,0.04721,0.12056,879875008,2.6478e+10,4.2776e+10,1.6205e+10,5.93e+08,8.31e+08,-290500000,540500000,470500000,5715500000,37527692120.3822,31.8628158844765,0.04721,0.0108267400733761,19.5918371941422,1.12915770058973,"BUY",128,57.9185520361991,91,41.1764705882353,109,49.3212669683258
"RAA.DE","RATIONAL AG","Germany","Industrials","Industrial Distribution",764,734.433532714844,650.455688476562,848.226013183594,14235.04,733.060842773437,5647024,8521443840,7.718,142399744,0.111669995,0.16061,81724128,131222000,689652000,558430000,251284000,13517000,-3964000,9553000,24390000,167699000,4314326336,9.70792335577421,0.111669995,0.00112105415225033,98.9893754858772,1.04025751271986,"BUY",170,76.9230769230769,49,22.1719457013575,109,49.3212669683258
"UBI.PA","Ubisoft","France","Communication Services","Electronic Gaming & Multimedia",59.0999984741211,80.1800003051758,53.4199981689453,87.1999969482422,468400.52,68.8414400634766,95899015,7166519296,0.85,624499968,0.05886,0.07044,154172000,3219800000,4884800000,1655700000,1627700000,324750000,-29850000,294900000,4.1e+07,733400000,5667631640.16972,9.91470361816782,0.05886,0.0411496833845963,69.5294099695542,0.737091522189806,"HOLD",217,98.1900452488688,2,0.904977375565611,109,49.3212669683258
"UCB.BR","UCB","Belgium","Healthcare","Biotechnology",85.2200012207031,83.1492538452148,75.3000030517578,87.0637741088867,298025.312,80.9989014282227,120923352,17781846016,3.77,1.402e+09,0.056149997,0.10658,784499968,6.047e+09,1.3319e+10,7.271e+09,1.336e+09,3.52e+08,-9.5e+07,2.57e+08,184500000,1369500000,10305088205.0515,17.1789772727273,0.056149997,0.0144529426117374,22.604774859603,1.0249039802491,"BUY",175,79.185520361991,43,19.4570135746606,107,48.4162895927602
"HEN3.DE","Henkel","Germany","Consumer Defensive","Household & Personal Products",89.0400009155273,90.5738143920898,80.0542984008789,97.4199981689453,445407.864,90.5261681518555,274246682,40574181376,3.242,2.764e+09,0.04535,0.078049995,1893750016,1.2371e+10,3.025e+10,1.7778e+10,1.727e+09,9.69e+08,-2.05e+08,7.64e+08,3.16e+08,4882500000,24418924816.3603,12.7667698658411,0.04535,0.0188297083044025,27.464528351489,0.983065596973506,"HOLD",190,85.972850678733,27,12.2171945701357,105,47.5113122171946
"INGA.AS","ING Group","Netherlands","Financial Services","Banks—Diversified",11.1020002365112,7.74702167510986,7.20148468017578,11.6499996185303,18480564.712,9.65087619400024,3903243864,75781054464,0.723,0,0.00301,0.05211,0,9.24888e+11,9.8087e+11,5.5041e+10,1.12703e+11,0,0,0,1.005e+09,4.478e+09,43333814301.289,Inf,0.00301,0,15.3554636742894,1.43306688713425,"HOLD",14,6.33484162895928,203,91.8552036199095,105,47.5113122171946
"SY1.DE","Symrise","Germany","Basic Materials","Specialty Chemicals",117.5,108.918388366699,95.8561096191406,118.75,256124.992,105.113184020996,124275583,17271019520,2.224,736792000,0.0508,0.13071999,461009888,3578108000,5939769000,2301855000,725136000,208478500,-35908500,172570000,68844000,849623000,14602381002.5,17.1629592499946,0.0508,0.00999188263322628,52.8327338129496,1.07878937397062,"HOLD",153,69.2307692307692,64,28.9592760180996,105,47.5113122171946
"EVK.DE","Evonik Industries","Germany","Basic Materials","Specialty Chemicals",28.2800006866455,24.9985980987549,24.3798694610596,29.2299995422363,780641.968,26.9258772277832,190650000,15721400320,1.118,1.822e+09,0.027320001,0.06166,938950016,1.2428e+10,2.1427e+10,8.915e+09,9.36e+08,4.94e+08,-1.82e+08,3.12e+08,1.86e+08,3.358e+09,5391582130.90897,25.1578947368421,0.027320001,0.0198455604239712,25.2951705605058,1.13126346425218,"BUY",123,55.6561085972851,93,42.0814479638009,103,46.606334841629
"RAND.AS","Randstad","Netherlands","Industrials","Staffing & Employment Services",63.939998626709,52.8707504272461,50.0870552062988,64.7200012207031,375382.04,58.2671141052246,98945281,12070582272,2.17,6.85e+08,0.03516,0.093219995,1578349952,5.619e+09,9.884e+09,4256500000,6.22e+08,9.9e+07,-1.2e+07,8.7e+07,1.53e+08,5.528e+09,6326561131.25933,56.7575757575758,0.03516,0.0072076058999915,29.4654371551654,1.20936431032306,"HOLD",84,38.0090497737557,131,59.2760180995475,102,46.1538461538462
"ORA.PA","Orange","France","Communication Services","Telecom Services",9.89000034332275,9.44961738586426,9.36526393890381,10.4795217514038,7215298.84,9.96455197906494,1911617913,60018024448,1.705,12888000512,0.033210002,0.1415,-972750016,7.0695e+10,1.07733e+11,3.4395e+10,8.145e+09,4185500000,-2575500000,1.61e+09,1947500000,10750500000,18905901815.8719,16.8904551427547,0.033210002,0.0268252748204819,5.80058671162625,1.04660325804485,"BUY",162,73.3031674208145,51,23.0769230769231,100.5,45.4751131221719
"WDP.BR","WDP","Belgium","Real Estate","REIT—Industrial",32.7799987792969,27.41748046875,26.2296504974365,32.939998626709,236177,28.8097613983154,138509916,8074300928,2.459,237782256,0.030539999,0.17472,113714496,2247815000,5021240000,2721365000,9849000,54234000,-2323000,51911000,160476000,80190000,4540354877.40051,41.4466017627319,0.030539999,0.00642916339914746,13.3306217077254,1.19558756745205,"HOLD",84,38.0090497737557,129,58.3710407239819,100.5,45.4751131221719
"CS.PA","AXA","France","Financial Services","Insurance—Diversified",22.0499992370605,18.1426048278809,17.2168464660645,23.0450000762939,5544690.4,20.6677375946045,1918178335,103262052352,1.25,6621000192,0.00429,0.03951,2691674880,7.19193e+11,8.04589e+11,7.161e+10,2.8237e+10,5061500000,-1.32e+08,4929500000,867500000,30304500000,42295830823.2961,142.09088214956,0.00429,0.047737768984063,17.6399993896484,1.21537119097556,"BUY",75,33.9366515837104,137,61.9909502262443,98.5,44.5701357466063
"RACE.MI","Ferrari","Italy","Consumer Cyclical","Auto Manufacturers",171.600006103516,187.72541809082,153.941802978516,187.72541809082,434883.432,170.908109130859,119351493,32826220544,3.49,937528000,0.07597,0.37166,170617632,4137086000,6085509000,1943473000,980309000,411056000,-127026000,284030000,262120000,1068810000,20480716927.2637,10.0645313533922,0.07597,0.00865253432448273,49.1690561901191,0.914101072985741,"BUY",199,90.0452488687783,13,5.88235294117647,98.5,44.5701357466063
"PHIA.AS","PHILIPS","Netherlands","Healthcare","Diagnostics & Research",42.689998626709,43.1728515625,42.689998626709,49.9311981201172,1874936.456,46.0753321533203,886451775,41367912448,1.296,2483249920,0,0,0,0,0,1.187e+10,0,0,0,0,3.9e+07,3.827e+09,37842625057.3937,NA,Inf,0,32.9398137551767,0.988815820166708,"HOLD",179,80.9954751131222,30,13.5746606334842,97,43.8914027149321
"RUI.PA","Rubis","France","Utilities","Utilities—Regulated Gas",38.6399993896484,35.8305168151855,35.4766120910645,40.3834609985352,248598.592,37.7800352172852,94268085,4353981440,2.718,467520992,0.04284,0.075,780619392,2308283000,4928616000,2501051000,1081584000,115081500,-58301500,56780000,70587500,925585500,3642518746.86333,20.0578112033646,0.04284,0.0130409375378504,14.2163353162798,1.07841032796022,"BUY",144.5,65.3846153846154,63,28.5067873303167,96,43.4389140271493
"ADYEN.AS","Adyen","Netherlands","Technology","Software—Infrastructure",1914.80004882812,1944,1674.59997558594,2211,73954.544,1914.9423984375,25722964,58230837248,8.51,384960000,0.06903,0.24435,903968512,2940327000,4158461000,1218134000,2737486000,338570500,-6022000,332548500,91332000,1040657500,49254332723.2041,8.68453394492432,0.06903,0.00571086585246414,225.005881178393,0.984979448985661,"BUY",177.5,80.316742081448,28,12.6696832579186,94,42.5339366515837
"BIM.PA","BioMerieux","France","Healthcare","Diagnostics & Research",92.0400009155273,117.385192871094,89.3200073242188,129.501083374023,143061.688,108.018118041992,41495570,11079409664,3.41,7.79e+08,0.096470006,0.17006001,272212512,1446500000,3927800000,2431100000,389200000,161050000,-75050000,8.6e+07,115750000,8.21e+08,3819252300.79033,8.98168270723378,0.096470006,0.00776214641466298,26.9912026145241,0.784085272293251,"HOLD",202.5,91.6289592760181,3,1.35746606334842,94,42.5339366515837
"SOI.PA","SOITEC","France","Technology","Semiconductor Equipment & Materials",185.600006103516,156.600006103516,145.600006103516,193,80298.288,168.970400756836,22805710,6236333056,2.16,150300000,0.04398,0.12076,37529500,892500000,1.568e+09,675500000,644400000,35953000,-36612000,-659000,25256000,164712500,4232739915.19501,24.8240758768392,0.04398,-0.00010567107209997,85.9259287516276,1.18518517796756,"HOLD",80.5,36.4253393665158,125,56.5610859728507,94,42.5339366515837
"ENG.MC","Enagás","Spain","Utilities","Utilities—Regulated Gas",19.8099994659424,17.9249992370605,17.0900001525879,20.0100002288818,1141269.704,18.3800000457764,227063216,9534189568,1.598,687062976,0.032309998,0.13024001,391363488,6.091e+09,9.262e+09,3.154e+09,995400000,193500000,0,193500000,92900000,232400000,4498122187.69516,31.4780361757106,0.032309998,0.0202953799711988,12.3967455982118,1.10516040776083,"BUY",124.5,56.3348416289593,79,35.7466063348416,92,41.6289592760181
"NN.AS","NN Group","Netherlands","Financial Services","Insurance—Diversified",40.2299995422363,34.2329864501953,33.1411628723145,42.2299995422363,872572.584,38.4326932373047,279926684,10946885632,5.87,3344999936,0.00801,0.053829998,2979124992,2.24966e+11,2.63738e+11,3.8495e+10,1.2382e+10,1021500000,-11500000,1.01e+09,658500000,4783500000,11261450369.1797,220.231032794909,0.00801,0.0922636842982594,6.8534922559176,1.17518229386051,"BUY",82,37.10407239819,121,54.7511312217195,90.5,40.9502262443439
"RCO.PA","REMY COINTREAU","France","Consumer Defensive","Beverages—Wineries & Distilleries",167.100006103516,152.100006103516,142.199996948242,172.199996948242,62650.432,160.773600341797,20321035,8798951424,2.75,262900000,0.05296,0.097679995,95512496,1231900000,2781100000,1548400000,2.01e+08,61950000,-16750000,45200000,39750000,289700000,3395645072.52975,19.8853914447135,0.05296,0.00513697573971287,60.7636385830966,1.09861932543113,"BUY",129,58.3710407239819,74,33.4841628959276,90.5,40.9502262443439
"BBVA.MC","BBVA","Spain","Financial Services","Banks—Diversified",5.22200012207031,3.91375184059143,3.70849180221558,5.39699983596802,19249747.88,4.53037212944031,6586361432,-57016156160,0.591,0,0.00614,0.0892,0,6.68994e+11,7.19705e+11,4.5315e+10,5.495e+10,0,0,0,1.21e+09,4.231e+09,34393980201.9032,Inf,0.00614,0,8.83587161094808,1.3342696049122,"HOLD",17,7.69230769230769,185,83.710407239819,89,40.2714932126697
"AKZA.AS","AkzoNobel","Netherlands","Basic Materials","Specialty Chemicals",106.849998474121,86.2971420288086,82.2581253051758,107.050003051758,498376.96,94.0060529785156,187715490,21576749056,3.849,1348999936,0.05138,0.121920004,9.65e+08,7.29e+09,1.3394e+10,5.889e+09,1.197e+09,-3.1e+07,-5.7e+07,-8.8e+07,2.17e+08,2.263e+09,20057399820.0689,-235.161290322581,0.05138,-0.00407846426593765,27.7604568651912,1.23816381356466,"HOLD",45,20.3619909502262,153,69.2307692307692,88,39.8190045248869
"FPE.DE","Fuchs Petrolub SE","Germany","Basic Materials","Specialty Chemicals",32.75,36.2585754394531,32.2730484008789,37.3278656005859,14592.296,34.9601862487793,100775000,4425650176,1.583,4.09e+08,0.09696999,0.14799,245500000,6.11e+08,2.289e+09,1.677e+09,2.53e+08,4.6e+07,-1.5e+07,3.1e+07,7.1e+07,6.97e+08,3300381250,13.2826086956522,0.09696999,0.00700462051160548,20.6885660138977,0.903234603209606,"HOLD",184.5,83.4841628959276,12,5.42986425339367,87,39.3665158371041
"ITX.MC","Inditex","Spain","Consumer Cyclical","Apparel Retail",30.4799995422363,25.6476612091064,24.3831996917725,32.5400009155273,4348306.968,28.3024637145996,1107492173,94840856576,0.622,4227000064,0.07401,0.1369,0,1.2834e+10,2.672e+10,1.3855e+10,7.084e+09,0,0,0,4.21e+08,4.942e+09,33756360926.0703,Inf,0.07401,0,49.0032146981291,1.18841243627369,"BUY",69,31.2217194570136,127,57.4660633484163,85.5,38.6877828054299
"MB.MI","Mediobanca","Italy","Financial Services","Banks—Regional",9.87399959564209,7.53999996185303,7.2960000038147,10.0150003433228,4158338.808,9.05266400146484,614845662,28920403968,0.704,0,0.00801,0.06205,0,72825800000,83765400000,10851600000,0,0,0,0,193300000,618100000,6070985817.97029,Inf,0.00801,0,14.0255676074462,1.30954902461504,"HOLD",19,8.5972850678733,177,80.0904977375566,85.5,38.6877828054299
