"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"IAM.PA","MAROC TELECOM","Morocco","Communication Services","Telecom Services",13.1999998092651,6.24240159988403,6.16981601715088,13.3000001907349,2009.4921875,6.97516135498881,219756253,11604058112,6.43212641598872,4.7164e+10,6.2639e+10,1.1813e+10,2.475e+09,3139500000,-1367500000,1.772e+09,1413500000,8.89e+09,2900782497.68482,15.0227743271222,0.0225658136304858,0.152705198724189,2.05219844194186,2.11457074621895,"HOLD",322.5,94.8529411764706,340,100,340,100
"HLAG.DE","HAPAG-LLOYD AG NA O.N.","Germany","Industrials","Marine Shipping",194.399993896484,133.288314819336,132.408203125,234.800003051758,31452.484375,180.058698654175,6328800,36529418240,19.155,9006700000,17297600000,8.277e+09,1614600000,1366400000,-79100000,1287300000,1200800000,4067400000,1230318681.37207,6.59155444964871,0.0694200351493849,0.0352400903716117,10.1487858990595,1.45849239792687,"BUY",339,99.7058823529412,322,94.7058823529412,339,99.7058823529412
"ZO1.DE","ZOOPLUS AG","Germany","Consumer Cyclical","Specialty Retail",488.799987792969,257.200012207031,221.600006103516,488.799987792969,27066.9590163934,310.804918758205,4494831,1970218496,4.192,367831617,503685865,135854247,153514718,48855924,-758790,48097134,10315799,510234605,2197073337.93146,7.52890513338771,0.0204806203962067,0.0244120812476628,116.603050523132,1.90046642532627,"HOLD",311,91.4705882352941,339,99.7058823529412,338,99.4117647058823
"VIRP.PA","VIRBAC","France","Healthcare","Drug Manufacturers—General",393.5,211,211,393.5,7057.38211382114,298.121951219512,4174308,2341768192,16.29,454283000,1111461000,622928000,181890000,41404500,-7193500,34211000,45155000,227945000,1642590198,10.9718267338091,0.0406267066500759,0.0146090463252821,24.1559238796808,1.86492890995261,"HOLD",306,90,338,99.4117647058823,337,99.1176470588235
"EQV1V.HE","eQ Oyj","Finland","Financial Services","Asset Management",26.1000003814697,19.1200008392334,18.7600002288818,30.6499996185303,8024.22580645161,24.4150805934783,8797159,1022109120,0.779,22462000,81140000,58678000,33000,7912000,-4000,7908000,8452000,18926000,229605853.25585,2.83897876643074,0.104165639635198,0.00773694299880623,33.5044934293578,1.36506272154098,"BUY",317,93.2352941176471,308,90.5882352941177,336,98.8235294117647
"APAM.MC","APERAM","Luxembourg","Basic Materials","Steel",50,35.7505035400391,35.7505035400391,54.1336708068848,1079.68292682927,46.6541600111054,47059408,3850479872,5.663,2.014e+09,4.457e+09,2.439e+09,4.17e+08,1.15e+08,-2.7e+07,8.8e+07,2.13e+08,1.272e+09,2352970400,17.5130434782609,0.047789993269015,0.022854294250418,8.8292424509977,1.39858169952773,"BUY",309.5,91.0294117647059,312,91.7647058823529,335,98.5294117647059
"BSL.DE","BASLER AG O.N.","Germany","Technology","Consumer Electronics",141.600006103516,99.6754837036133,97.6859512329102,169,5091.90909090909,118.441249500621,4047572,1434615040,2.118,81564000,204263000,122699000,45724000,15040000,-4698000,10342000,7899000,60649000,573136219.904419,5.42313829787234,0.0386707333192991,0.0072089025359723,66.8555269610555,1.42061017255322,"HOLD",304,89.4117647058824,317,93.2352941176471,334,98.2352941176471
"APAM.AS","APERAM","Luxembourg","Basic Materials","Steel",48.7700004577637,36.0218086242676,36.0218086242676,54.2267532348633,218220.25203252,46.7412794779956,47059408,4087677696,2.19,2.014e+09,4.457e+09,2.439e+09,4.17e+08,1.15e+08,-2.7e+07,8.8e+07,2.13e+08,1.272e+09,2295087349.70209,17.5130434782609,0.047789993269015,0.0215281160953841,22.2694066017186,1.3539020476864,"BUY",305,89.7058823529412,307,90.2941176470588,333,97.9411764705882
"WAVE.PA","WAVESTONE","France","Technology","Information Technology Services",46,35.7066345214844,34.0251579284668,46.7999992370605,8303.51219512195,40.1691134693177,8832088,855809088,1.27,240406000,446469000,206063000,88009000,26002500,-108000,25894500,9212000,115403000,406276048,9.24549562542063,0.0206330114744809,0.030257332345599,36.2204724409449,1.28827599174384,"HOLD",314,92.3529411764706,292,85.8823529411765,332,97.6470588235294
"HBH.DE","HORNBACH HOLDING ST O.N.","Germany","Consumer Cyclical","Home Improvement Retail",105,84.7944259643555,76.1729202270508,112.199996948242,36919.25,90.5834987163544,8148626,3059884800,10.1,2313100000,4211500000,1576700000,598900000,238300000,-54100000,184200000,93300000,1678100000,855605730,9.70667226185481,0.0221536269737623,0.0601983447219974,10.3960396039604,1.23828894182429,"HOLD",330.5,97.2058823529412,275,80.8823529411765,331,97.3529411764706
"NRO.PA","NEURONES","France","Technology","Information Technology Services",35.7000007629395,27.0766563415527,25.671293258667,36.4000015258789,8743.3203125,29.2574826478958,8243261,670616448,1.27,190826000,549851000,322626000,266603000,22281500,-1956500,20325000,8697000,135035500,294284423.989109,8.56432466395889,0.0158170122451355,0.0303079354236179,28.1102368212122,1.31847892563282,"HOLD",302,88.8235294117647,301,88.5294117647059,330,97.0588235294118
"IPS.PA","IPSOS","France","Communication Services","Advertising Agencies",41.75,31.5797481536865,31.3848094940186,42.2999992370605,55722.890625,35.8400214761496,38438503,2031620480,2.43,1351704000,2473670000,1103809000,215951000,78386500,-7334000,71052500,54111000,525715500,1604807500.25,17.2440917760073,0.021874785238128,0.0349733135196589,17.1810699588477,1.32204980852978,"HOLD",300.5,88.3823529411765,302,88.8235294117647,329,96.7647058823529
"ALFEN.AS","ALFEN","Netherlands","Industrials","Electrical Equipment & Parts",99.3499984741211,67.4000015258789,55.8499984741211,102.400001525879,152360.609756098,78.3666664061508,21028343,1664160512,0.57,72324000,146552000,74228000,52344000,12193500,-1126000,11067500,3545500,49341500,2089165844.96329,5.93135687046377,0.024192777990065,0.00665050030943169,174.298242937055,1.47403555229854,"HOLD",276,81.1764705882353,324,95.2941176470588,328,96.4705882352941
"AUB.PA","AUBAY","France","Technology","Information Technology Services",52,36.7812080383301,36.7812080383301,52.0999984741211,7919.55284552846,44.4295436890145,7029868,608788672,1.97,178864000,381760000,202752000,51883000,14650500,-188500,14462000,7422500,105802500,365553136,12.2087300774718,0.0194428436714166,0.023755369745119,26.3959390862944,1.41376541917303,"HOLD",283,83.2352941176471,315,92.6470588235294,327,96.1764705882353
"IPN.PA","Ipsen","France","Healthcare","Drug Manufacturers—Specialty & Generic",82.9000015258789,66.6131744384766,66.6131744384766,92.3000030517578,124493.953125,83.365404009819,34675880,7177457664,7.545,2133200000,4521500000,2386600000,737500000,178600000,-17050000,161550000,1.52e+08,707300000,2874630504.91119,11.9440089585666,0.0336171624460909,0.0225079697523382,10.9874090822901,1.2444985879249,"BUY",316,92.9411764705882,279,82.0588235294118,326,95.8823529411765
"SWP.PA","SWORD GROUP","Luxembourg","Technology","Software—Application",41.4000015258789,34.5924491882324,32.9536285400391,45.3499984741211,11906.7073170732,39.0595724214383,5972789,316588352,5.588,99313000,235255000,134150000,105842000,9357500,-314000,9043500,24516500,50196500,247273473.713753,10.6131979695431,0.104212450319866,0.0285654855678329,7.40873327234769,1.1967930140073,"BUY",334,98.2352941176471,256,75.2941176470588,325,95.5882352941177
"ALESK.PA","ESKER","France","Technology","Software—Application",288.5,188.621246337891,186.425643920898,303.5,7022.8984375,243.987766385078,5225706,1480411648,1.686,56492000,121904000,65412000,39417000,6971500,-2448000,4523500,3069500,30948000,1507616181,8.10327763035215,0.0251796495603098,0.00305556904129411,171.115065243179,1.52952016594774,"HOLD",261,76.7647058823529,328,96.4705882352941,324,95.2941176470588
"WAC.DE","WACKER NEUSON SE NA O.N.","Germany","Industrials","Farm & Heavy Construction Machinery",24.5200004577637,20.4760761260986,19.8124084472656,26.9400005340576,89820.652892562,24.2599215546915,23927107,1920699008,0.464,994500000,2.234e+09,1239500000,238800000,131800000,-7500000,124300000,40900000,494300000,586692674.59296,7.54552352048558,0.0183079677708147,0.064716022386783,52.8448285727665,1.19749508190735,"BUY",328,96.4705882352941,257,75.5882352941177,323,95
"VIB3.DE","VILLEROY + BOCH AG VZ","Germany","Consumer Cyclical","Furnishings, Fixtures & Appliances",22.8999996185303,16,15.6000003814697,24,10575.3032786885,19.5352459188368,12170789,457325888,0.856,664500000,926100000,257500000,286500000,30800000,-4900000,25900000,12600000,226300000,278711063.457212,21.5746753246753,0.0136054421768707,0.0566335750492218,26.7523360029559,1.43124997615814,"HOLD",265.5,78.0882352941177,319,93.8235294117647,322,94.7058823529412
"SII.PA","SII","France","Technology","Information Technology Services",37.3499984741211,24.8003997802734,24.0036010742188,41.2344017028809,6939.27642276423,31.0695313864607,8360912,535136512,0.977,262429000,439376000,177304000,112876000,20729500,-2072500,18657000,3612000,150606000,312280050.442261,12.6596878844159,0.00822074942645934,0.0348640012064809,38.2292717237678,1.50602404820223,"HOLD",254,74.7058823529412,326,95.8823529411765,321,94.4117647058823
"NXU.DE","NEXUS AG O.N.","Germany","Healthcare","Health Information Services",71.5,54.5205001831055,53.9224662780762,76.5,4078.7890625,64.4230690300465,14438869,1099619968,1.035,124534000,250986000,122931000,42076000,20489000,-1116000,19373000,3681000,44610000,1032379133.5,6.07809068280541,0.0146661566780617,0.0176179048796611,69.0821256038647,1.31143330967011,"HOLD",275,80.8823529411765,300,88.2352941176471,320,94.1176470588235
"AAD.DE","AMADEUS FIRE AG","Germany","Industrials","Staffing & Employment Services",176,127.486587524414,127.486587524414,181.199996948242,6387.1652892562,158.491744869011,5706480,1156998016,4.619,238797000,359212000,118982000,32028000,17585000,-1276000,16309000,7426000,90702000,1004340480,13.5795848734717,0.020673028740688,0.0140959619415631,38.1034856029444,1.38053738371729,"HOLD",259,76.1764705882353,311,91.4705882352941,319,93.8235294117647
