"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"HLAG.DE","HAPAG-LLOYD AG NA O.N.","Germany","Industrials","Marine Shipping",175.199996948242,91.0428619384766,91.0428619384766,203.399993896484,30739.4285714286,148.150031982906,6328800,37058121728,11.978,9006700000,17297600000,8.277e+09,1614600000,1366400000,-79100000,1287300000,1200800000,4067400000,1108805740.68604,6.59155444964871,0.0694200351493849,0.0347373245046943,14.6268155742396,1.92436829442638,"HOLD",337,99.1176470588235,337,99.1176470588235,340,100
"PNL.AS","POSTNL","Netherlands","Industrials","Integrated Freight & Logistics",4.48699998855591,3.11562371253967,3.02700567245483,4.94700002670288,5448871.73015873,4.0306571438199,445130312,2466240512,0.73,1.984e+09,2.355e+09,3.69e+08,8.43e+08,1.83e+08,-1.2e+07,1.71e+08,1.36e+08,9.62e+08,1997299704.84989,10.8415300546448,0.0577494692144374,0.0693363032388627,6.14657532678892,1.44016107288462,"HOLD",335,98.5294117647059,316,92.9411764705882,339,99.7058823529412
"YSN.DE","SECUNET SECURITY AG O.N.","Germany","Technology","Information Technology Services",471.5,279.685699462891,246.956512451172,493,4770.12698412698,336.263904268779,1330582,2941744896,5.427,137012412,239778037,102385175,101648590,35967449,-2436293,33531156,12014845,86087397,627369413,3.80934472166764,0.0501081965234372,0.0113983901342341,86.8804127510595,1.68582090863233,"HOLD",319,93.8235294117647,330,97.0588235294118,338,99.4117647058823
"EQV1V.HE","eQ Oyj","Finland","Financial Services","Asset Management",26.5499992370605,17.2639579772949,16.8781719207764,28.6499996185303,7255.54098360656,20.8934392147377,8638450,1052518336,0.688,49473000,98373000,48900000,68000,7391000,-28000,7363000,8439000,18182000,229350840.909386,6.69368150453254,0.0857857338903968,0.00699560259252339,38.5901151701461,1.53788599763614,"HOLD",312,91.7647058823529,328,96.4705882352941,337,99.1176470588235
"ADV.DE","ADVA OPTICAL NETWORKING SE  O.N.","Germany","Technology","Communication Equipment",12.9799995422363,9.05000019073486,8.90999984741211,13.460000038147,169750.69047619,10.5021428910513,42797052,677358912,0.838,244624000,524267000,279643000,79060000,27444000,-2411000,25033000,11228000,144473000,555505715.369064,8.91356945051742,0.0214165682753254,0.0369567736638859,15.4892595969407,1.43425406283691,"HOLD",321,94.4117647058823,315,92.6470588235294,336,98.8235294117647
"ZO1.DE","ZOOPLUS AG","Germany","Consumer Cyclical","Specialty Retail",291.399993896484,191,185.399993896484,291.399993896484,20079.4841269841,240.377777826218,4494831,2004534528,4.192,367831617,503685865,135854247,153514718,48855924,-758790,48097134,10315799,510234605,1309793725.96573,7.52890513338771,0.0204806203962067,0.0239941658914643,69.5133573226346,1.5256544183062,"HOLD",307,90.2941176470588,326,95.8823529411765,335,98.5294117647059
"VIRP.PA","VIRBAC","France","Healthcare","Drug Manufacturers—General",317,218.411285400391,201.955642700195,326,8182.88888888889,250.354113745311,4174308,2746729728,16.29,454283000,1111461000,622928000,181890000,41404500,-7193500,34211000,45155000,227945000,1323255636,10.9718267338091,0.0406267066500759,0.0124551752038998,19.4597912829957,1.45139020366497,"HOLD",303.5,89.2647058823529,317,93.2352941176471,334,98.2352941176471
"ORDI.AS","Ordina","Netherlands","Technology","Information Technology Services",3.85500001907349,2.87552332878113,2.76492619514465,4.05999994277954,315543.920634921,3.44519170125326,79412087,385360736,0.239,108283000,286094000,177811000,44405000,14373000,-567000,13806000,5975000,90596500,306133596.899665,7.53377861267655,0.0208847441749914,0.0358261719740955,16.1297071927761,1.34062554126714,"HOLD",322,94.7058823529412,294,86.4705882352941,333,97.9411764705882
"MMT.PA","METROPOLE TV","France","Communication Services","Broadcasting",17.2000007629395,12.7657890319824,12.1763162612915,18.2399997711182,194781.603174603,16.5131035305205,55306616,2127419136,2.192,793500000,1861500000,1060300000,1.97e+08,66550000,-2200000,64350000,57200000,358150000,951273837.395599,11.923365890308,0.0307279076013967,0.0302479181986638,7.84671567652347,1.34735116802008,"BUY",318,93.5294117647059,295,86.7647058823529,332,97.6470588235294
"APAM.MC","APERAM","Luxembourg","Basic Materials","Steel",47.0699996948242,34.5240020751953,33.7994499206543,48.5625,1085.53174603175,40.9117839752682,47089314,4099491328,3.28,1.059e+09,3.305e+09,2.242e+09,3.67e+08,1.06e+08,-4.6e+07,6e+07,1.16e+08,1.177e+09,2216493995.60948,9.99056603773585,0.0350983358547655,0.0146359621717439,14.3506096630562,1.36339928355649,"HOLD",310,91.1764705882353,299,87.9411764705882,331,97.3529411764706
