"Ticker","Signal","Final_rank","Quality","Momentum","PER","MCap","Slope","ROA","FCF2EV","FCF2D","MomentumValue"
"PHM.MC","BUY",128,121,122,13.7650198229801,1464503001.82537,0.337313590630642,0.42918998,13.8999512839151,0.442217248016316,4.5696383086519
"CASH.MC",NA,127,109,124,0,0,NA,0.051880002,9.110131743873,5.05788180766969,NA
"NTGY.MC","HOLD",126,124,102,20.2531638140804,NA,0.511068367392582,0.022820001,0,0,0.348801858061451
"GRF.P.MC",NA,125,95.5,127,NA,NA,NA,0,0,0,NA
"CBAV.MC","HOLD",124,114,108,17.0700632083188,22699934.3537807,0.713986107968264,0.10139,13.3578416930581,2.92812381757019,0.584549335488202
"GAS.MC",NA,123,95.5,126,NA,NA,NA,0,0,0,NA
"VIS.MC","HOLD",122,127,94,22.2648752399232,NA,-0.112566638276641,0.09585,0,1.06569127353244,0.151170704714632
"GAM.MC",NA,121,95.5,125,NA,NA,NA,0,0,0,NA
"OLE.MC","HOLD",119.5,105,115,1.07068964119615,55849634.581466,0.302102842755127,0.045479998,10.1020409761884,4.31954350705972,1.05797600235867
"UBS.MC","HOLD",119.5,108,112,Inf,313565919.952514,1.47525605143699,0.00149,0,0,0.880000014901161
"FAE.MC","HOLD",118,107,103,13.8022818039579,994687066.568925,0.169737367308153,0.115,31.3300381606904,0.603001995169206,0.392670327594405
"PRM.MC","BUY",117,123,84,25.1250004768372,44622975.6968813,0.25412488197697,0.05508,7.02973494517434,0.98958697385197,0.0376898167264783
"ITX.MC","HOLD",115.5,111,95,54.0588229310279,30531288840.5653,0.400562049647936,0.04725,14.433254340127,1.05830271700635,0.154095092411482
"LOG.MC","HOLD",115.5,113,93,13.1305040981027,1086935640.7175,0.208463566148978,0.01859,0.731186767657311,0.0937000975524888,0.145140776501468
"ELE.MC","SELL",114,101,104,15.82575711337,6545179321.20685,-0.221104989468375,0.043109998,13.874358867129,3.82753815464821,0.395857855964309
"CEV.MC","HOLD",113,128,75,NA,NA,-0.0790286615251214,0.0440739478274818,0,0,-0.0208179559794255
"VID.MC","BUY",112,103,99,17.1352318597434,1736526145.63071,0.280254752965697,0.081199996,25.4791354481802,2.87977103395894,0.292535464969568
"FDR.MC","HOLD",111,90.5,110,45.7746478873239,1475988195.5,0.97589934564884,0.04009,19.1739746351935,3.16468948039239,0.63525569739015
"GSJ.MC","HOLD",110,92,107,16.2571430206299,126095459.678056,0.526778886151769,0.014199999,5.07624592483883,3.48527717385607,0.52094762325249
"ALNT.MC","HOLD",109,117,76,17.5999997456868,228982020.291299,0.436075997820998,0.089899994,14.7600583522659,0.720435250508191,-0.0184566472568096
"BDL.MC","HOLD",108,110,81,21.4007782101167,30077520,0,0.038429998,14.5711584657731,0.00969438614812621,0.0138248847926263
"APPS.MC","HOLD",107,120,58,-8.11261271571254,1283579884.2925,0.381679927201485,0.062319998,6.02985980152284,2.68358180209275,-0.174387280896811
"APAM.MC","HOLD",106,90.5,87,15.7579901011567,1625046694.52242,0.686266392167537,0.030380001,16.8092096848007,2.38262077611231,0.0585192414551725
