"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"DDS","Dillard's","United States","Consumer Cyclical","Department Stores",231.139999389648,98.7320022583008,96.9951248168945,234.339996337891,306179.6875,177.739815473557,4355338,3696430336,11.135,1969963000,3507660000,1537697000,615920000,302413000,-16850000,285563000,158247000,1357535000,1006692822.66171,6.51414787062726,0.0451146918458459,0.0772537215753442,20.7579703089042,2.34108489752841,"HOLD",1217.5,98.0273752012883,1237,99.597423510467,1242,100
"MGY","Magnolia Oil & Gas Corp","United States","Energy","Oil & Gas E&P",20.8799991607666,11.1975317001343,11.1975317001343,21.9500007629395,1830980.46875,15.3924685418606,142139202,3171596288,0.484,655689000,1498345000,623556000,190282000,187878000,-54190000,133688000,84445000,250726000,2967866418.47203,3.48997221601252,0.0563588492636876,0.042151644743002,43.1404941338153,1.86469658849157,"HOLD",1225.5,98.6714975845411,1226,98.7117552334944,1241,99.9194847020934
"AMRK","A-Mark Precious Meta","United States","Financial Services","Capital Markets",74.9899978637695,37.2700004577637,37.2700004577637,74.9899978637695,112015.625,52.5927343070507,8249611,1204241792,8.33,827639000,1191581000,362623000,101405000,102794000,-762000,102032000,51005000,2178666000,618638311.26693,8.05143296301341,0.0428044757343395,0.0847271708039178,9.00240070393392,2.01207397216837,"HOLD",1210.5,97.463768115942,1231,99.1143317230274,1240,99.8389694041868
"INVA","Innoviva Inc","United States","Healthcare","Biotechnology",17.4500007629395,11.4499998092651,11.4499998092651,17.4500007629395,733994.53125,14.5137500241399,87103398,1526126336,2.27,391609000,1088290000,634461000,282890000,84107000,0,84107000,94123000,85518000,1519954361.55462,4.65608094451116,0.0864870576776411,0.0551114268956564,7.6872250057002,1.52401755926836,"HOLD",1229,98.9533011272142,1190,95.8132045088567,1239,99.7584541062802
"DKS","Dick's Sporting Goods Inc","United States","Consumer Cyclical","Specialty Retail",124.209999084473,78.9084243774414,78.9084243774414,139.243133544922,1967814.0625,106.068451821804,62025698,12674629632,10.535,5380789000,8386164000,3005375000,2236733000,583430000,-96592000,486838000,495509000,3274842000,7704211891.79378,9.22268138422776,0.0590864905575422,0.0384104320311551,11.7902229790672,1.57410314632999,"HOLD",1203,96.8599033816425,1199,96.5378421900161,1237.5,99.6376811594203
"CROX","Crocs Inc","United States","Consumer Cyclical","Footwear & Accessories",161.449996948242,100.120002746582,97.9499969482422,163,1512633.59375,127.390077650547,60163984,9446453248,5.883,1135038000,1493802000,358764000,197853000,212216000,-13346000,198870000,318954000,640773000,9713475033.19409,5.34850341161835,0.213518257439741,0.021052345761845,27.4434806983244,1.61256484737516,"HOLD",1199,96.5378421900161,1203,96.8599033816425,1237.5,99.6376811594203
"MC","Moelis","United States","Financial Services","Capital Markets",72.7399978637695,51.2754364013672,50.7035827636719,72.7399978637695,378522.65625,59.0506913363934,60354657,3831637248,3.591,723221000,1108014000,412196000,196451000,254825000,-6562000,248263000,79341000,360907000,4390197621.24854,2.83810850583734,0.0716064959468021,0.06479292895735,20.2561954507852,1.41861294547324,"HOLD",1234,99.3558776167472,1161,93.4782608695652,1236,99.5169082125604
"PIPR","Piper Jaffray Companies","United States","Financial Services","Capital Markets",164.690002441406,115.139450073242,115.139450073242,166.240005493164,69539.0625,134.381133377552,13633918,1463766912,5.12112512338713,1039367000,2114337000,955054000,397510000,274835000,-5624000,269211000,69821000,508648000,2245369988.70593,3.7817854348973,0.0330226449236806,0.183916577013048,32.1589491514864,1.43035251893807,"HOLD",1225.5,98.6714975845411,1168,94.0418679549114,1235,99.4363929146538
"ARLP","Alliance Resource Pt","United States","Energy","Thermal Coal",11.8599996566772,5.38743257522583,5.38743257522583,12.5699996948242,555653.90625,8.26815640926361,87198682,1501364352,0.314,980993000,2115513000,1123299000,37749000,103569000,-24189000,79380000,44035000,362443000,1034176338.58271,9.47187865094768,0.0208152821561484,0.052871909403108,37.7706995435581,2.20141959849588,"HOLD",1149.5,92.5523349436393,1235,99.4363929146538,1234,99.3558776167472
"NMRK","Newmark Group Inc Cl A","United States","Real Estate","Real Estate Services",14.8800001144409,10.74169921875,10.74169921875,15.039999961853,837767.96875,13.1064675375819,164278575,3504766976,0.532,3042468000,4634095000,1225221000,165721000,494182000,-3660000,490522000,439744000,629871000,2444465214.80019,6.15657389382859,0.0948931776323101,0.139958520312193,27.9699250271446,1.3852557040945,"HOLD",1236,99.5169082125604,1147,92.3510466988728,1233,99.2753623188406
"VET","Vermilion Energy Inc","Canada","Energy","Oil & Gas E&P",10.8400001525879,7.42000007629395,5.71000003814697,11.4300003051758,2166175.78125,8.20382812619209,157630860,3591101952,1.541,3545673000,5407473000,1861800000,0,253406000,-91372000,162034000,451274000,365723000,1708718546.45256,13.9920641184502,0.0834537685162737,0.0451209690412042,7.03439335015437,1.46091644759148,"HOLD",1189.5,95.7729468599034,1175,94.6054750402576,1232,99.194847020934
