Ticker;CompanyName;Country;Sector;Industry;CP;StartP;MinP;MaxP;Vol;MA;Shares;EV;EPS;Debt;Assets;Equity;Cash;CFOpeAct;CapExp;FCF;netIncome;Sales;MCap;Debts;ROA;FCFyield;PER;Pr6m;Signal;Quality;Quality;Momentum;Momentum;Final_rank;Final
AZK.MC;AZKOYEN;Spain;Industrials;Business Equipment & Supplies;5.8600001335;4.9161286354;4.8774189949;5.9999995232;9598.7063492064;5.5931948745;7169035;143721680;0.26;54536000;160280000;105595000;21061000;0;0;0;2890000;30496000;42010546.0571694;Inf;0.0180309458;0;22.538462052;1.191994874;BUY;101;34.3537414966;176;59.8639455782;129;43.8775510204
GRG1L.VS;Grigeo;Lithuania;Basic Materials;Paper & Paper Products;0.9879999757;1.3117159605;0.8799999952;1.7300000191;88107.8983050847;1.1992066058;49945140;121150200;0.096;32988000;126017000;92423000;18826000;4611000;-1806000;2805000;3312000;35056000;49345797.1053994;7.1541964867;0.0262821683;0.0231530777;10.2916664133;0.7532118274;HOLD;264;89.7959183673;12;4.0816326531;128;43.537414966
IMDA.PA;IMMOB.DASSAULT;France;Real Estate;REIT—Diversified;62;57.4488601685;53.5140075684;63;473.1111111111;59.2771048167;757619;700256256;13.02;301510000;769972000;465263000;996000;3054500;0;3054500;27591500;5320000;46972378;98.7100998527;0.03583442;0.0043619746;4.7619047619;1.0792207159;BUY;162.5;55.2721088435;113;38.4353741497;127;43.1972789116
ARM.MC;ARIMA BR;Spain;Real Estate;REIT—Office;9.6999998093;8.5;8.5;9.6999998093;5114.8571428571;9.1319048291;15221611;264734432;0.469;112720000;414573000;301853000;129086000;0;0;0;10671000;2632000;147649623.796708;Inf;0.025739737;0;20.6823023652;1.1411764481;BUY;123;41.8367346939;152;51.7006802721;125;42.5170068027
CBOT.PA;CBO TERRITORIA;France;Real Estate;Real Estate—Diversified;3.5399999619;3.4435989857;3.3118765354;3.6900000572;28934.5714285714;3.5332335518;33656857;322411616;0.355;294304000;511300000;216628000;44647000;13358000;39500;13397500;5004000;32902500;119145272.496093;22.0320407247;0.0097868179;0.0415540239;9.9718308785;1.0279942515;BUY;191;64.9659863946;84;28.5714285714;125;42.5170068027
MORE.AS;MOREFIELD GROUP;Netherlands Antilles;Industrials;Staffing & Employment Services;0.3519999981;0.2779999971;0.2660000026;0.6999999881;55211.7936507937;0.4131190467;1771664;2581536;0.001;96000;2157000;2061000;22000;-13500;0;-13500;27500;0;623625.724620819;-7.1111111111;0.0127491887;-0.0052294448;351.9999980927;1.2661870565;HOLD;61;20.7482993197;214;72.7891156463;125;42.5170068027
OLE.MC;DEOLEO SA;Spain;Consumer Defensive;Packaged Foods;0.3409999907;0.2545000017;0.2485000044;0.4709999859;3445665.45238095;0.3636396828;176985001;556662016;0.539;440692000;882531000;220038000;78710000;-641000;0;-641000;3681000;177787000;60351883.695336;-687.5070202808;0.0041709583;-0.0011515066;0.632653044;1.3398820765;HOLD;43;14.6258503401;231;78.5714285714;123;41.8367346939
YOC.DE;YOC AG O.N.;Germany;Communication Services;Advertising Agencies;9.3999996185;8.1499996185;8.1499996185;10.8999996185;3711.6746031746;9.3063491488;1371284;35854092;0.235;9552223;5820370;-3731853;279453;-61214;-37865;-99079;277848;3660812;12890069.0768967;-156.0463782795;0.0477371713;-0.0027633945;39.9999983767;1.1533742403;BUY;110.5;37.5850340136;163;55.4421768707;122;41.4965986395
EAB.HE;EAB Group Oyj;Finland;Financial Services;Asset Management;3.4400000572;3.4000000954;3.1400001049;3.75;2726.4180327869;3.4722131158;4090596;55677200;0.018;13700000;32800000;19100000;0;750000;3e+05;1050000;550000;5e+06;14071650.4740658;18.2666666667;0.0167682927;0.018858707;191.11111429;1.0117646943;BUY;201;68.3673469388;72;24.4897959184;121;41.156462585
PRM.MC;PRIM;Spain;Healthcare;Medical Instruments & Supplies;11.8500003815;9.447265625;9.2704973221;11.8999996185;4121.0158730159;10.391669614;8034891;208685552;0.399;51904752;163644670;111739922;31771292;0;0;0;628250;42507807;95213461.4150677;Inf;0.0038391107;0;29.6992490764;1.2543312374;HOLD;65;22.1088435374;204;69.387755102;120;40.8163265306
