"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","ebitda","returnOnAssets","returnOnEquity","freeCashflow","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"LPX","Louisiana-Pacific Corp","United States","Industrials","Building Products & Equipment",67.2099990844727,34.0251541137695,34.0052719116211,73.3711318969727,1641269.6,50.4424516296387,101588668,6386465280,4.46,1159000064,0.29162002,0.65226,734625024,9.3e+08,2.343e+09,1.404e+09,6.45e+08,3.14e+08,-3.4e+07,2.8e+08,3.2e+08,1.017e+09,6827774283.2728,2.96178343949045,0.29162002,0.0438427185812556,15.0695065211822,1.97530329648892,"HOLD",1179,99.4097807757167,1135,95.6998313659359,1186,100
"LOVE","The Lovesac Company","United States","Consumer Cyclical","Furnishings, Fixtures & Appliances",86.0899963378906,32.1100006103516,31.2399997711182,86.0899963378906,412875.2,57.261920135498,12482236,1071643264,0.96,21738262,0.06373,0.14868,22266420,63072316,171018871,107946555,78341101,33590265,-1702248,31888017,21703363,129677733,1074595651.52869,1.87769629087475,0.06373,0.0297561866632514,89.6770795186361,2.68109606669198,"HOLD",1138.5,95.9949409780776,1173,98.9038785834739,1185,99.9156829679595
"HIBB","Hibbett Sports Inc","United States","Consumer Cyclical","Specialty Retail",84.7600021362305,41.1599998474121,41.1599998474121,87.3199996948242,452506.4,63.5159197998047,15961221,1265156992,4.36,188474000,0.12587,0.20628999,166791008,417130000,808166000,391036000,209290000,52507000,-13969000,38538000,23932000,376830000,1352873126.05685,7.94427409678709,0.12587,0.0304610417866623,19.4403674624382,2.05928091473401,"HOLD",1157,97.5548060708263,1152,97.1332209106239,1184,99.8313659359191
"VSTO","Vista Outdoor Inc","United States","Consumer Cyclical","Leisure",43.5900001525879,20.6299991607666,19.4400005340576,43.5900001525879,1268817.6,30.5389599914551,51912985,2354447616,0.977,267455008,0.08218,0.09146,199406752,870017000,1528745000,658728000,96467000,109494000,-7938000,101556000,78879000,574679000,2262887024.07129,7.94579611668219,0.08218,0.0431336842280376,44.6161721111442,2.11294241036547,"HOLD",1145.5,96.5851602023609,1155,97.3861720067454,1183,99.7470489038786
"SID","Companhia Siderurgica Nacional","Brazil","Basic Materials","Steel",8.52999973297119,4.29654216766357,4.29654216766357,9.91661643981934,3920661.6,6.83016264724731,648308808,31212660736,1.438,12809440256,0.105550006,0.99653,10020088832,52403596000,69678932000,14387488000,13908238000,3455474000,-373094000,3082380000,5240015000,11913328000,5530073959.12287,15.1653857039584,0.105550006,0.0987541570413076,5.93184960568233,1.98531735523726,"HOLD",1147,96.7116357504216,1137,95.8684654300169,1182,99.6627318718381
"ENVA","Enova International Inc","United States","Financial Services","Credit Services",37.8699989318848,20.9099998474121,20.9099998474121,40.4799995422363,390919.2,30.4425598144531,30617751,1882749568,13.4,0,0.23194,0.62119997,0,1128034000,2133642000,1004866000,324328000,117028000,-7106000,109922000,75920000,218452000,1159494197.66671,9.63900946781967,0.23194,0.0583837605745769,2.82611932327498,1.8110951319099,"HOLD",1168,98.4822934232715,1109,93.5075885328836,1181,99.5784148397976
"LQDT","Liquidity Services","United States","Consumer Cyclical","Internet Retail",24.2399997711182,9.56999969482422,9.4399995803833,28.1399993896484,447232,18.435119934082,24168277,799704256,0.173,20555000,0.05246,0.14355,51127124,110645000,217583000,106938000,87613000,25277000,-1055000,24222000,5260000,61786000,585839028.94832,4.37729952130395,0.05246,0.0302886971255534,140.1156056134,2.53291541735659,"HOLD",1103,93.0016863406408,1171,98.7352445193929,1180,99.4940978077572
"HEAR","Turtle Beach Corp","United States","Technology","Consumer Electronics",33.0999984741211,18.6900005340576,18.6900005340576,34.0999984741211,566744,26.7297198791504,15152835,363922144,2.37,54965000,0.18562001,0.43102002,35929248,87054000,203453000,116399000,46681000,18411000,-1745000,16666000,16303000,132912000,501558815.378609,4.72836890989083,0.18562001,0.0457955094922721,13.9662440819076,1.77100040279855,"HOLD",1175,99.0725126475548,1096,92.4114671163575,1179,99.4097807757167
"AVID","Avid Tech Inc","United States","Communication Services","Electronic Gaming & Multimedia",30.8799991607666,12.1499996185303,11.8800001144409,30.9699993133545,515992,20.1328800125122,34713468,1175031808,0.25,42018000,0.075100005,0,31493750,438062000,305138000,-132924000,79899000,30712000,-73000,30639000,7087000,104301000,1071951862.7073,14.263545194061,0.075100005,0.0260750388129068,123.519996643066,2.5415637967322,"HOLD",1084,91.3996627318718,1172,98.8195615514334,1178,99.3254637436762
"DKS","Dick's Sporting Goods Inc","United States","Consumer Cyclical","Specialty Retail",97.5299987792969,56.2236518859863,51.9096717834473,98.7600021362305,1978335.2,73.0496639404297,62499600,9171411968,5.72,1238276992,0.07966,0.26049,1374044672,5413325000,7752859000,2339534000,1658067000,635254000,-67583000,567671000,219614000,3125307000,6095585911.70654,8.52151265478061,0.07966,0.061895703952746,17.0506990872897,1.73467918763217,"HOLD",1150.5,97.0067453625632,1087,91.6526138279933,1177,99.2411467116357
