"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","ebitda","returnOnAssets","returnOnEquity","freeCashflow","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"UQA.VI","UNIQA Insurance Group AG","Austria","Financial Services","Insurance—Diversified",6.63000011444092,5.03999996185303,5.01999998092651,6.8600001335144,282819.704918033,6.39459014720604,146873668,2976002304,0.063,304766016,0.0047999998,0.00708,1075404160,28433125000,31907957000,3450072000,640713000,138804000,-32212500,106591500,-10547500,1569910000,973772435.648357,204.843700469727,0.0047999998,0.0358170085610256,105.238097054618,1.31547622313936,"BUY",291,35.6181150550796,433,52.9987760097919,324,39.6815676668708
"NEA.MC","NICOLAS CORREA","Spain","Industrials","Specialty Industrial Machinery",4.90000009536743,4.73999977111816,4.38000011444092,5.23999977111816,9589.85483870968,4.86088708523781,6943432,59395996,0.474,7955000,0.043730002,0.10619,-2814500,40099000,97136000,56304000,17359000,2338000,-511500,1826500,1612000,16708500,34022817.4621773,17.1509837467921,0.043730002,0.030751231109922,10.3375529438131,1.03375534429858,"BUY",606,74.1738066095471,117,14.3206854345165,323,39.5590936925903
"MRL.MC","Merlin Properties","Spain","Real Estate","REIT—Diversified",9.16399955749512,6.19000005722046,5.73000001907349,9.26500034332275,1231462.67741935,7.97070157143378,432467889,9847701504,0.12,337473984,0.01567,0.00841,-10671250,6781345000,13477612000,6696267000,252022000,0,0,0,-55417000,70103000,3963135543.42685,Inf,0.01567,0,76.366662979126,1.4804522573155,"HOLD",132,16.156670746634,590,72.2154222766218,321.5,39.3753827311696
"UTDI.DE","United Internet","Germany","Communication Services","Telecom Services",34.9799995422363,30.1000003814697,29.5699996948242,39.0299987792969,257226.35483871,34.981129184846,84512267,8735833088,1.54,912560000,0.03888,0.07742,216039376,4319625000,9230836000,4519060000,131270000,208057000,-90168000,117889000,41960000,1382562000,2956239060.97335,20.7617383697737,0.03888,0.01349487779957,22.7142854170366,1.16212621591098,"BUY",476,58.2619339045288,246,30.110159118727,321.5,39.3753827311696
"CFN.LS","COFINA,SGPS","Portugal","Communication Services","Publishing",0.225999996066093,0.208000004291534,0.199000000953674,0.270000010728836,80573.7741935484,0.232951613563684,27794316,74471488,0.015,10252575,0.0433,0.03563,7263101,87286408,132681494,45395086,15347683,3112692,-91258,3021434,1421911,18700785,6281515.30665976,28.0420960377705,0.0433,0.0405716883218447,15.0666664044062,1.08653842020758,"HOLD",554.5,67.8702570379437,166,20.3182374541004,320,39.1916717697489
"EL.PA","Essilor","France","Healthcare","Medical Instruments & Supplies",139.520004272461,113.127632141113,104.901969909668,141.300003051758,634584.120967742,127.202637395551,273006041,65249144832,0.19,2230000128,0.00827,0.00437,2866625024,1.952e+10,5.2318e+10,3.2268e+10,8.683e+09,1249500000,-1.69e+08,1080500000,248500000,4099500000,38089804006.7276,15.6222488995598,0.00827,0.0165596040037308,734.315811960321,1.23329730881688,"HOLD",380,46.5116279069767,338,41.3708690330477,319,39.0691977954685
"VPK.AS","Vopak","Netherlands","Energy","Oil & Gas Equipment & Services",40.2058143615723,45.0898132324219,38.2870941162109,45.3902206420898,336218.669354839,41.4771411957279,61117450,7467955712,2.318,576499968,0,0,0,0,0,2980700000,0,0,0,0,73100000,300100000,2457276848.95267,NA,Inf,0,17.3450450222486,0.891682876447628,"HOLD",697,85.31211750306,20,2.44798041615667,317.5,38.8854868340478
"ALITL.PA","IT LINK","France","Technology","Information Technology Services",15,10.3500003814697,9.34000015258789,16.5499992370605,2540.24193548387,12.9490322682165,992174,30570078,1.047,3368000,0.04893,0.12488,-406500,25598000,41099000,15470000,4983000,-2018000,-80000,-2098000,208500,11986000,14882610,-12.6848364717542,0.04893,-0.0686292000955967,14.3266475644699,1.44927530890293,"HOLD",146,17.8702570379437,571,69.8898408812729,317.5,38.8854868340478
"HOT.DE","Hochtief","Germany","Industrials","Engineering & Construction",76.9599990844727,63.2000007629395,63.2000007629395,87.5999984741211,153438.516129032,77.40983873798,19865048,5539515904,6.157,-111196000,-0.0176,0.42981997,4212000,16018936000,16981555000,669607000,4949899000,660600000,-110700000,549900000,103200000,5046100000,1528814075.89301,24.2490705419316,-0.0176,0.0992686020818039,12.4995938093995,1.21772148980103,"BUY",391,47.8580171358629,325,39.7796817625459,316,38.7017758726271
"TEXF.BR","TEXAF","Belgium","Industrials","Conglomerates",36.4000015258789,33.2000007629395,32.4000015258789,38.5999984741211,499.540322580645,35.5854839509533,1033170,123333528,1.268,11411000,0.03682,0.04642,7264750,29047000,128884000,99453000,6979000,1647500,1309500,2957000,708000,5454500,37607389.5764923,17.6309559939302,0.03682,0.0239756378330473,28.7066258090528,1.09638556293383,"BUY",539,65.9730722154223,175,21.4198286413709,315,38.5793018983466
"NXU.DE","NEXUS AG O.N.","Germany","Healthcare","Health Information Services",58.0999984741211,47.6431427001953,45.849048614502,60.9991722106934,7290.27419354839,53.1200889464348,14439179,879510976,0.947,19879000,0.037130002,0.12642999,22524000,99579000,223162000,120201000,26449000,4065000,931000,4996000,6128000,48279000,838916277.867561,24.4966789667897,0.037130002,0.00568042939352698,61.3516351363475,1.21948291362154,"HOLD",387,47.3684210526316,326,39.9020807833537,314,38.4568279240661
"TSM1T.TL","Tallinna Sadam","Estonia","Industrials","Marine Shipping",1.97599995136261,1.66499996185303,1.6599999666214,1.99600005149841,75714.1147540984,1.82598362008079,86608530,701534976,0.108,55986000,0.0328,0.0758,5562375,252661000,628093000,375432000,26679000,14069000,-7677000,6392000,5723000,25303000,171138451.067587,17.9587035325894,0.0328,0.00911144877828586,18.2962958459501,1.18678678476573,"BUY",430.5,52.6927784577723,282,34.5165238678091,313,38.3343539497857
"CABK.MC","CaixaBank","Spain","Financial Services","Banks—Regional",2.59400010108948,1.69050002098083,1.56200003623962,2.68600010871887,15168899.1935484,2.24371773292941,3217681556,44733796352,0.207,0,0.00328,0.054770004,0,4.26242e+11,4.5152e+11,2.5253e+10,3.076e+09,0,0,0,6.55e+08,2.028e+09,8346666281.53775,Inf,0.00328,0,12.5314014545385,1.53445730191972,"HOLD",82,10.0367197062423,629,76.9889840881273,311,38.0894060012247
"GRE.MC","GRENERGY RENOVABLES","Spain","Utilities","Utilities—Renewable",27,21,19,44.4000015258789,76492,29.3612903625734,9156414,770062144,0.64,23082596,0.06881,0.3516,-86956672,209363307,258198255,49204938,20569250,0,0,0,6222317,30749821,247223178,Inf,0.06881,0,42.1875,1.28571428571429,"HOLD",308,37.6988984088127,403,49.3268053855569,311,38.0894060012247
"CCN.PA","CRCAM NORM.SEINE","France","Financial Services","Banks—Regional",107.5,86.4322052001953,80.0746307373047,116.980003356934,475.564516129032,105.78592817245,1049708,521779488,9.51,0,0.00296,0.023740001,0,18067253000,20483085000,2415677000,1445543000,270925000,-16650000,254275000,20191500,87919500,112843610,66.6872861493033,0.00296,0.48732272127953,11.3038906414301,1.24374936114388,"BUY",368,45.0428396572827,343,41.9828641370869,311,38.0894060012247
"CAV1V.HE","Caverion Oyj","Finland","Industrials","Specialty Business Services",6.28000020980835,5.6603045463562,5.09133100509644,6.28000020980835,216165.483333333,5.53530561526616,77495425,911752960,0.046,49700000,0.013839999,0.04042,131137504,1095800000,1292400000,196300000,149300000,75200000,5500000,80700000,-3500000,579300000,486671285.259187,14.5718085106383,0.013839999,0.0885108176671014,136.521743691486,1.1094809755159,"HOLD",523.5,64.0758873929009,187,22.8886168910649,309,37.8444580526638
"COFA.PA","COFACE","France","Financial Services","Insurance—Reinsurance",10.4799995422363,6.57999992370605,6.48999977111816,10.4799995422363,267426.782258065,8.71193548940843,84076438,3964087040,0.55,168936992,0.01342,0.04226,165280496,5554229000,7552804000,1998308000,400969000,-36082000,-13849000,-49931000,30466000,377959000,881121031.752861,-153.933512554736,0.01342,-0.0125958384607014,19.0545446222479,1.59270511607144,"HOLD",46,5.63035495716034,664,81.2729498164015,308,37.7219840783833
"MAR.LS","MARTIFER","Portugal","Industrials","Engineering & Construction",0.435000002384186,0.379999995231628,0.370999991893768,0.45100000500679,23644.2419354839,0.398387096822262,16930337,127133080,0.201,16942706,0.02404,0,44478780,282737635,271343136,-8434226,49609198,9627491,-58308,9569183,771429,52701183,7364696.63536507,29.3677381780985,0.02404,0.0752690251821163,2.16417911633923,1.14473686274399,"HOLD",483,59.1187270501836,225,27.5397796817625,307,37.5995101041029
"SEFER.PA","SERGEFERRARI GROUP","France","Industrials","Building Products & Equipment",6.90999984741211,6.3600001335144,5.30000019073486,7.48000001907349,16535.8790322581,6.43798388588813,2441520,157152160,0.04,14633000,0.016390001,0.0076,-7172750,203216000,304523000,94894000,45925000,14867500,-1874000,12993500,-1029500,57806000,16870902.8274536,13.6684714982344,0.016390001,0.0826810143748581,172.749996185303,1.08647794062133,"BUY",542,66.3402692778458,165,20.1958384332925,306,37.4770361298224
"VIE.PA","Veolia","France","Industrials","Waste Management",24.8899993896484,17.1299991607666,15.8500003814697,24.8899993896484,1994733.80645161,21.0597177628548,528889033,29302988800,0.156,2601799936,0.01518,0.029679999,540750016,37049200000,45363900000,7216200000,5.84e+09,0,0,0,0,0,13164047708.5618,Inf,0.01518,0,159.551278138772,1.45300645703794,"HOLD",131,16.0342717258262,575,70.3794369645043,305,37.3545621555419
"SAF.PA","Safran","France","Industrials","Aerospace & Defense",122.400001525879,91.4199981689453,87.5599975585938,125.550003051758,925984.362903226,114.702016399753,346716092,55201914880,0.8,2753999872,0.02153,0.030280001,1646249984,2.6781e+10,3.9531e+10,1.2349e+10,3.747e+09,2.72e+08,-6.6e+07,2.06e+08,3.46e+08,3.902e+09,42438050189.8468,98.4595588235294,0.02153,0.00373175460394464,153.000001907349,1.33887556308722,"BUY",238,29.1309669522644,466,57.0379436964504,304,37.2320881812615
"BITTI.HE","Bittium Oyj","Finland","Technology","Communication Equipment",6.82999992370605,5.82284545898438,5.21567678451538,7.10685777664185,79366.0416666667,6.25138496557871,24604727,234152752,0.061,7302000,0.00819,0.01925,-9649250,43786000,158033000,114247000,18968000,5103000,-1388000,3715000,681000,22127000,168050283.532808,8.58044287673917,0.00819,0.0158657114565965,111.967211864034,1.17296603040833,"HOLD",436,53.3659730722154,267,32.6805385556916,303,37.109614206981
"MRK.DE","Merck","Germany","Healthcare","Drug Manufacturers—Specialty & Generic",145.550003051758,125.911674499512,125.911674499512,148.242050170898,402471.088709677,137.803971444407,129242072,74126917632,4.57,4599000064,0.04496,0.11417,1884888064,2.4779e+10,4.1796e+10,1.6946e+10,1.355e+09,1.288e+09,-6.36e+08,6.52e+08,4.36e+08,4.598e+09,18811183974.0155,19.2383540372671,0.04496,0.00879572523488467,31.8490159850674,1.1559690841243,"BUY",469,57.4051407588739,233,28.5189718482252,302,36.9871402327005
"ACS.MC","ACS Group","Spain","Industrials","Engineering & Construction",27.2199993133545,22.5253772735596,19.7515106201172,28.7714977264404,1001876.92741935,26.1452074050903,230228671,11161948160,1.95,754590976,0.00212,0.18320999,-428242880,33057813000,37333720000,3528479000,8080808000,1.031e+09,0,1.031e+09,9.7e+07,7.733e+09,6266824266.53452,32.0638341416101,0.00212,0.0923673883108233,13.9589740068485,1.2084148017936,"BUY",382.5,46.8176254589963,314,38.4332925336597,301,36.8646662584201
"DSY.PA","Dassault Systèmes","France","Technology","Software—Application",192,152.5,145.449996948242,192,289573.169354839,167.855241344821,133584898,53721190400,1.86,947400000,0.03346,0.09365,1175849984,7858100000,12964200000,5061300000,2148900000,2.38e+08,-22300000,215700000,203700000,1219300000,25648300416,33.0172268907563,0.03346,0.0040151753599265,103.225806451613,1.25901639344262,"HOLD",331,40.5140758873929,364,44.5532435740514,300,36.7421922841396
"FAGR.BR","FAGRON","Belgium","Healthcare","Drug Manufacturers—Specialty & Generic",18.6200008392334,19.9599990844727,18.0599994659424,2014,93055.5806451613,51.7386289411975,61017818,1603028864,0.82,104533000,0.07124,0.23812,31783376,495007000,752826000,253107000,84248000,32893000,-4215000,28678000,14167500,138610500,1136151822.36819,15.0490073875901,0.07124,0.0178898837344953,22.7073180966261,0.932865816297473,"HOLD",663,81.1505507955936,30,3.67197062423501,299,36.6197183098592
"IVX.DE","INVISION AG","Germany","Technology","Software—Application",27.6000003814697,19.1000003814697,18.8999996185303,28.7999992370605,541.193548387097,23.2508065008348,1018042,61358584,0.166,1610315,0.03494,0.02802,468727,8985300,22398391,13413091,7790641,-710919,-19877,-730796,266773,3259348,28097959.5883522,-12.6389926278521,0.03494,-0.0119102487762755,166.265062538974,1.4450261691223,"HOLD",125,15.2998776009792,565,69.155446756426,298,36.4972443355787
