"Ticker","CompanyName","Country","Sector","Industry","CP","StartP","MinP","MaxP","Vol","MA","Shares","EV","EPS","ebitda","returnOnAssets","returnOnEquity","freeCashflow","Debt","Assets","Equity","Cash","CFOpeAct","CapExp","FCF","netIncome","Sales","MCap","Debts","ROA","FCFyield","PER","Pr6m","Signal","Quality","N_Quality","Momentum","N_Momentum","Final_rank","N_Final"
"CABK.MC","CaixaBank","Spain","Financial Services","Banks—Regional",2.59400010108948,1.69050002098083,1.56200003623962,2.68600010871887,15168899.1935484,2.24371773292941,3217681556,44733796352,0.207,0,0.00328,0.054770004,0,4.26242e+11,4.5152e+11,2.5253e+10,3.076e+09,0,0,0,6.55e+08,2.028e+09,8346666281.53775,Inf,0.00328,0,12.5314014545385,1.53445730191972,"HOLD",12,5.76923076923077,176,84.6153846153846,75,36.0576923076923
"AI.PA","Air Liquide","France","Basic Materials","Chemicals",139.679992675781,133.350006103516,124.699996948242,142.149993896484,883061.14516129,135.056774631623,463419711,79136063488,5.14,5407399936,0.05199,0.13191,2073437440,22972500000,41977100000,18542300000,1791400000,1526450000,-655150000,871300000,678350000,5106200000,64730461838.2927,15.0496249467719,0.05199,0.0110101508919776,27.1750958513193,1.0474689634986,"BUY",148,71.1538461538462,38,18.2692307692308,74,35.5769230769231
"AGS.BR","Ageas","Belgium","Financial Services","Insurance—Diversified",50.7000007629395,34.469539642334,31.4883899688721,51.9799995422363,466926.040322581,44.6005282402039,176796876,15912061952,6.06,1.736e+09,0.00835,0.0954,1081500032,9.7644e+10,1.11418e+11,1.1555e+10,2.241e+09,0,0,0,147300000,3431600000,8963601748.08531,Inf,0.00835,0,8.36633675956097,1.47086387834063,"HOLD",18,8.65384615384615,165,79.3269230769231,73,35.0961538461538
"VIE.PA","Veolia","France","Industrials","Waste Management",24.8899993896484,17.1299991607666,15.8500003814697,24.8899993896484,1994733.80645161,21.0597177628548,528889033,29302988800,0.156,2601799936,0.01518,0.029679999,540750016,37049200000,45363900000,7216200000,5.84e+09,0,0,0,0,0,13164047708.5618,Inf,0.01518,0,159.551278138772,1.45300645703794,"HOLD",23,11.0576923076923,159,76.4423076923077,71.5,34.375
"FLTR.IR","FLUTTER ENTERTAIN","Ireland","Consumer Cyclical","Gambling",171.449996948242,137.550003051758,135.199996948242,196.75,337170.096774194,165.33717776883,143930291,34386452480,0.328,859699968,0.01449,-0.00457,1246312448,5996300000,16992200000,10965100000,603400000,343500000,-18750000,324750000,9700000,1438900000,24676847952.7096,17.4564774381368,0.01449,0.00944412629330934,522.713405330007,1.24645578440103,"BUY",80,38.4615384615385,102,49.0384615384615,71.5,34.375
"DSY.PA","Dassault Systèmes","France","Technology","Software—Application",192,152.5,145.449996948242,192,289573.169354839,167.855241344821,133584898,53721190400,1.86,947400000,0.03346,0.09365,1175849984,7858100000,12964200000,5061300000,2148900000,2.38e+08,-22300000,215700000,203700000,1219300000,25648300416,33.0172268907563,0.03346,0.0040151753599265,103.225806451613,1.25901639344262,"HOLD",68,32.6923076923077,111,53.3653846153846,70,33.6538461538462
"BAMI.MI","Banco BPM","Italy","Financial Services","Banks—Regional",2.2590000629425,1.4748250246048,1.4748250246048,2.43399739265442,17343184.2066116,1.97941127690402,1399242428,37038641152,0.014,0,8.9999994e-05,0.0013799999,0,171458081000,183685182000,12225207000,8864699000,0,0,0,-241654000,286541000,3160888732.92382,Inf,8.9999994e-05,0,161.357147353036,1.53170716882014,"HOLD",3,1.44230769230769,175,84.1346153846154,68.5,32.9326923076923
"MRK.DE","Merck","Germany","Healthcare","Drug Manufacturers—Specialty & Generic",145.550003051758,125.911674499512,125.911674499512,148.242050170898,402471.088709677,137.803971444407,129242072,74126917632,4.57,4599000064,0.04496,0.11417,1884888064,2.4779e+10,4.1796e+10,1.6946e+10,1.355e+09,1.288e+09,-6.36e+08,6.52e+08,4.36e+08,4.598e+09,18811183974.0155,19.2383540372671,0.04496,0.00879572523488467,31.8490159850674,1.1559690841243,"BUY",113,54.3269230769231,65,31.25,68.5,32.9326923076923
"ACS.MC","ACS Group","Spain","Industrials","Engineering & Construction",27.2199993133545,22.5253772735596,19.7515106201172,28.7714977264404,1001876.92741935,26.1452074050903,230228671,11161948160,1.95,754590976,0.00212,0.18320999,-428242880,33057813000,37333720000,3528479000,8080808000,1.031e+09,0,1.031e+09,9.7e+07,7.733e+09,6266824266.53452,32.0638341416101,0.00212,0.0923673883108233,13.9589740068485,1.2084148017936,"BUY",87,41.8269230769231,90,43.2692307692308,66,31.7307692307692
"COV.PA","Covivo","France","Real Estate","REIT—Diversified",74.4479217529297,52.8641166687012,47.1300277709961,74.4479217529297,163278.048387097,66.7810827378304,60490966,22692120576,3.821,703513984,0.01491,0.03147,-304016640,14811591000,27379749000,8582202000,1246147000,154372500,-200618000,-46245500,82751500,213184000,4503426703.52713,95.9470825438469,0.01491,-0.00203795409270436,19.4838842588144,1.40828839001499,"HOLD",26,12.5,151,72.5961538461538,66,31.7307692307692
