Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
European Equities30 Dec 2020All datapoints provided as of end of last active trading day.1000MERCIS;FR0010285965;ALMIL;"Euronext Growth Paris";EUR;19.00;19.00;18.70;19.00;"29/12/20 14:00";CET;3254;61658.15
"2020 Bulkers";BMG9156K1018;2020;"Oslo Børs";NOK;57.20;58.80;57.20;58.80;"29/12/20 16:25";CET;14093;816313.40
2CRSI;FR0013341781;2CRSI;"Euronext Paris";EUR;5.08;5.29;5.07;5.20;"29/12/20 17:35";CET;195361;1010729.78
"2MX ORGANIC";FR0014000T90;2MX;"Euronext Paris";EUR;11.14;11.35;10.854;11.00;"29/12/20 17:28";CET;54769;612343.63
"2MX ORGANIC BS";FR0014000TB2;2MXBS;"Euronext Paris";EUR;0.2783;0.2783;0.278;0.278;"23/12/20 13:20";CET;40000;11124.10
"5th Planet Games";DK0060945467;5PG;"Euronext Expand Oslo";NOK;1.30;1.30;1.22;1.23;"29/12/20 16:25";CET;3224032;3987376.17
"A TOUTE VITESSE";FR0010050773;MLATV;"Euronext Access Paris";EUR;1.48;1.48;1.35;1.35;"13/11/19 16:53";CET;378;521.87
"A.S.T. GROUPE";FR0000076887;ASP;"Euronext Paris";EUR;4.05;4.18;3.99;4.12;"29/12/20 17:35";CET;5748;23426.85
"AALBERTS NV";NL0000852564;AALB;"Euronext Amsterdam";EUR;37.00;37.21;36.74;37.07;"29/12/20 17:35";CET;73390;2715296.25
"Aasen Sparebank";NO0010672181;AASB;"Euronext Growth Oslo";NOK;139.00;142.00;139.00;142.00;"29/12/20 15:03";CET;165;22995.00
"AB INBEV";BE0974293251;ABI;"Euronext Brussels";EUR;58.33;58.90;58.07;58.59;"29/12/20 17:35";CET;839027;49045441.20
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;19.84;19.84;17.88;18.02;"29/12/20 17:35";CET;809531;14973405.12
ABATTOIR;BE0946377455;-;"Euronext Expert Market";EUR;47.70;47.70;47.70;47.70;"24/01/17 11:30";CET;500;23850.00
"ABBEY PLC";IE0000020408;DOY;"Euronext Growth Dublin";EUR;16.40;16.40;16.40;16.40;"29/12/20 19:53";IST;217;3558.80
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;7.24;7.27;7.22;7.27;"29/12/20 17:35";CET;23064;167141.28
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;12.40;12.40;11.70;11.70;"29/12/20 17:29";CET;9603;115882.65
"ABG Sundal Collier";NO0003021909;ABG;"Oslo Børs";NOK;6.24;6.39;6.23;6.39;"29/12/20 16:25";CET;583696;3681675.10
"ABIONYX PHARMA";FR0012616852;ABNX;"Euronext Paris";EUR;1.008;1.05;0.946;0.966;"29/12/20 17:35";CET;509407;515716.54
ABIVAX;FR0012333284;ABVX;"Euronext Paris";EUR;29.85;32.30;29.65;32.10;"29/12/20 17:37";CET;104086;3259541.95
"ABN AMRO BANK N.V.";NL0011540547;ABN;"Euronext Amsterdam";EUR;8.132;8.18;7.976;8.028;"29/12/20 17:35";CET;3164798;25448414.73
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels";EUR;4.08;4.08;4.08;4.08;"29/12/20 16:30";CET;8676;35398.08
"ACACIA PHARMA";GB00BYWF9Y76;ACPH;"Euronext Brussels";EUR;2.65;2.65;2.55;2.59;"29/12/20 17:35";CET;176165;455206.45
"ACANTHE DEV.";FR0000064602;ACAN;"Euronext Paris";EUR;0.428;0.429;0.425;0.425;"29/12/20 16:47";CET;4471;1910.77
"ACCELL GROUP";NL0009767532;ACCEL;"Euronext Amsterdam";EUR;26.00;26.15;25.90;26.05;"29/12/20 17:35";CET;31009;806924.50
ACCENTIS;BE0003696102;ACCB;"Euronext Brussels";EUR;0.05;0.051;0.0495;0.0495;"29/12/20 17:23";CET;191704;9582.44
ACCOR;FR0000120404;AC;"Euronext Paris";EUR;29.80;30.70;29.76;29.76;"29/12/20 17:35";CET;454043;13625605.96
ACCSYS;GB00BQQFX454;AXS;"Euronext Amsterdam";EUR;1.65;1.65;1.58;1.585;"29/12/20 17:35";CET;451645;723056.01
ACHETER-LOUER.FR;FR0010493510;ALALO;"Euronext Growth Paris";EUR;0.053;0.0718;0.0507;0.07;"15/12/20 17:37";CET;109879057;6965495.72
"ACKERMANS V.HAAREN";BE0003764785;ACKB;"Euronext Brussels";EUR;124.60;125.00;123.90;124.00;"29/12/20 17:38";CET;17182;2134286.90
ACTEOS;FR0000076861;EOS;"Euronext Paris";EUR;3.10;3.39;2.86;3.04;"29/12/20 17:35";CET;146933;459958.77
"ACTIA GROUP";FR0000076655;ATI;"Euronext Paris";EUR;2.58;2.61;2.54;2.555;"29/12/20 17:35";CET;39522;101795.56
"ACTIPLAY (GROUPE)";FR0011038348;ALACT;"Euronext Growth Paris";EUR;0.822;0.822;0.782;0.79;"29/12/20 17:35";CET;17216;13598.54
"ACTIVIUM GROUP";FR0010979377;MLACT;"Euronext Access Paris";EUR;1.35;1.35;1.35;1.35;"29/12/20 16:30";CET;800;1080.00
ACVLHO;BE0010012210;-;"Euronext Expert Market";EUR;4500.01;4500.01;4500.01;4500.01;"07/07/15 11:30";CET;3;13500.03
ADA;FR0000053076;ALADA;"Euronext Growth Paris";EUR;8.25;8.25;8.25;8.25;"29/12/20 10:06";CET;565;4661.25
"ADC SIIC";BE0974269012;ALDV;"Euronext Paris";EUR;0.108;0.108;0.108;0.108;"15/12/20 11:30";CET;550;59.40
ADEUNIS;FR0013284627;ALARF;"Euronext Growth Paris";EUR;2.78;2.97;2.74;2.94;"29/12/20 17:35";CET;26291;75738.11
Adevinta;NO0010844038;ADE;"Oslo Børs";NOK;144.80;145.70;143.20;143.20;"29/12/20 16:25";CET;209569;30101027.70
"ADL PARTNER";FR0000062978;ALP;"Euronext Paris";EUR;14.85;14.85;14.65;14.65;"29/12/20 15:45";CET;1265;18711.35
ADOCIA;FR0011184241;ADOC;"Euronext Paris";EUR;8.24;8.52;8.15;8.28;"29/12/20 17:29";CET;23954;200940.18
ADOMOS;FR0013247244;ALADO;"Euronext Growth Paris";EUR;0.39;0.39;0.375;0.385;"29/12/20 17:21";CET;213774;81624.43
ADP;FR0010340141;ADP;"Euronext Paris";EUR;105.00;106.20;103.00;104.60;"29/12/20 17:35";CET;62072;6492928.90
"ADS Crude Carriers";CY0108052115;ADS;"Euronext Growth Oslo";NOK;18.85;19.00;18.80;18.80;"29/12/20 15:45";CET;51675;975216.70
ADTHINK;FR0010457531;ALADM;"Euronext Growth Paris";EUR;1.335;1.335;1.225;1.335;"29/12/20 15:50";CET;31117;40196.42
ADUX;FR0012821890;ADUX;"Euronext Paris, Amsterdam";EUR;1.57;1.795;1.55;1.79;"29/12/20 17:29";CET;55801;95178.52
ADVENIS;FR0004152874;ADV;"Euronext Paris";EUR;2.02;2.02;2.02;2.02;"29/12/20 15:25";CET;172;347.44
ADVICENNE;FR0013296746;ADVIC;"Euronext Paris, Brussels";EUR;9.98;10.00;9.74;9.88;"29/12/20 17:35";CET;17951;177449.00
ADVINI;FR0000053043;ADVI;"Euronext Paris";EUR;20.40;21.60;20.40;21.00;"29/12/20 17:29";CET;1803;37585.00
ADYEN;NL0012969182;ADYEN;"Euronext Amsterdam";EUR;1931.00;1972.50;1928.00;1932.00;"29/12/20 17:35";CET;62403;121061778.50
AEDIFICA;BE0003851681;AED;"Euronext Brussels, Amsterdam";EUR;97.40;99.60;97.40;98.80;"29/12/20 17:35";CET;35342;3490340.00
